t,value
1611785967,0
t,value
1611786523,0
1611786526,0
1611786529,0
1611786532,0
1611786535,0
1611786538,0
1611786541,0
1611786544,0
1611786547,0
1611786550,0
t,value
1611786573,0
1611786576,0
1611786579,0
1611786582,0
1611786585,0
1611786588,0
1611786591,0
1611786594,0
1611786597,0
1611786600,0
1611786603,0
1611786606,0
1611786609,0
1611786612,0
1611786615,0
1611786618,0
1611786621,0
1611786624,0
1611786627,0
1611786630,0
1611786633,0
1611786636,0
1611786639,0
1611786642,0
1611786645,0
1611786648,0
1611786651,0
1611786654,0
1611786657,0
1611786660,0
1611786663,0
1611786666,0
1611786669,0
1611786672,0
1611786675,0
1611786678,0
1611786681,0
1611786684,0
1611786687,0
1611786690,0
1611786693,0
1611786696,0
1611786699,0
1611786702,0
1611786705,0
1611786708,0
1611786711,0
1611786714,0
1611786717,0
1611786720,0
1611786723,0
1611786726,0
1611786729,0
1611786732,0
1611786735,0
1611786738,0
1611786741,0
1611786744,0
1611786747,0
1611786750,0
1611786753,0
1611786756,0
t,value
1611786810,0
1611786813,0
1611786816,0
1611786819,0
1611786822,0
1611786825,1
1611786828,5
1611786831,5
1611786834,5
1611786837,5
1611786840,5
1611786843,5
1611786846,5
1611786849,0
1611786852,0
1611786855,0
1611786858,2
1611786861,5
1611786864,5
1611786867,5
1611786870,5
1611786873,5
1611786876,5
1611786879,5
1611786882,5
1611786885,5
1611786888,5
1611786891,5
1611786894,5
1611786897,5
1611786900,5
1611786903,5
1611786906,5
1611786909,5
1611786912,5
1611786915,5
1611786918,5
1611786921,5
1611786924,5
1611786927,5
1611786930,5
1611786933,5
1611786936,5
1611786939,5
1611786942,5
1611786945,5
1611786948,5
1611786951,5
1611786954,5
1611786957,5
1611786960,5
1611786963,5
1611786966,5
1611786969,5
1611786972,5
1611786975,5
1611786978,5
1611786981,5
1611786984,5
1611786987,5
1611786990,5
1611786993,5
1611786996,5
1611786999,5
1611787002,5
1611787005,5
1611787008,5
1611787011,5
1611787014,5
1611787017,5
1611787020,5
1611787023,5
1611787026,5
