t,value
1611785967,-1
t,value
1611786523,-1
1611786526,-1
1611786529,8
1611786532,8
1611786535,8
1611786538,8
1611786541,8
1611786544,8
1611786547,8
1611786550,8
t,value
1611786573,-1
1611786576,8
1611786579,8
1611786582,8
1611786585,8
1611786588,8
1611786591,8
1611786594,8
1611786597,8
1611786600,9
1611786603,9
1611786606,9
1611786609,9
1611786612,9
1611786615,9
1611786618,9
1611786621,9
1611786624,9
1611786627,9
1611786630,11
1611786633,11
1611786636,11
1611786639,11
1611786642,11
1611786645,11
1611786648,11
1611786651,11
1611786654,11
1611786657,11
1611786660,11
1611786663,11
1611786666,11
1611786669,11
1611786672,11
1611786675,11
1611786678,11
1611786681,11
1611786684,11
1611786687,11
1611786690,10
1611786693,10
1611786696,10
1611786699,10
1611786702,10
1611786705,10
1611786708,10
1611786711,10
1611786714,10
1611786717,10
1611786720,10
1611786723,10
1611786726,10
1611786729,10
1611786732,10
1611786735,10
1611786738,10
1611786741,10
1611786744,10
1611786747,10
1611786750,10
1611786753,10
1611786756,10
t,value
1611786810,-1
1611786813,-1
1611786816,10
1611786819,10
1611786822,10
1611786825,10
1611786828,10
1611786831,10
1611786834,10
1611786837,10
1611786840,10
1611786843,10
1611786846,10
1611786849,10
1611786852,10
1611786855,10
1611786858,10
1611786861,10
1611786864,10
1611786867,10
1611786870,10
1611786873,10
1611786876,9
1611786879,9
1611786882,9
1611786885,9
1611786888,9
1611786891,9
1611786894,9
1611786897,9
1611786900,9
1611786903,9
1611786906,9
1611786909,9
1611786912,9
1611786915,9
1611786918,9
1611786921,9
1611786924,9
1611786927,9
1611786930,9
1611786933,9
1611786936,9
1611786939,9
1611786942,9
1611786945,8
1611786948,8
1611786951,8
1611786954,8
1611786957,8
1611786960,10
1611786963,10
1611786966,10
1611786969,10
1611786972,10
1611786975,10
1611786978,10
1611786981,10
1611786984,10
1611786987,10
1611786990,10
1611786993,10
1611786996,10
1611786999,10
1611787002,10
1611787005,10
1611787008,10
1611787011,10
1611787014,10
1611787017,10
1611787020,9
1611787023,9
1611787026,9
1611787029,9
1611787032,9
1611787035,9
1611787038,9
1611787041,9
1611787044,9
1611787047,9
1611787050,9
1611787053,9
1611787056,9
1611787059,9
1611787062,9
1611787065,9
1611787068,9
1611787071,9
1611787074,9
1611787077,9
1611787080,9
1611787083,9
1611787086,9
1611787089,9
1611787092,9
1611787095,9
1611787098,9
1611787101,9
1611787104,9
1611787107,9
1611787110,9
1611787113,9
1611787116,9
1611787119,9
1611787122,9
1611787125,9
1611787128,9
1611787131,9
1611787134,9
1611787137,9
1611787140,9
1611787143,9
1611787146,9
1611787149,9
1611787152,9
1611787155,9
1611787158,9
1611787161,9
1611787164,9
1611787167,9
1611787170,9
