t,value
1611785967,-1
t,value
1611786523,-1
1611786526,-1
1611786529,2
1611786532,2
1611786535,2
1611786538,2
1611786541,2
1611786544,2
1611786547,2
1611786550,2
t,value
1611786573,-1
1611786576,8
1611786579,2
1611786582,2
1611786585,2
1611786588,2
1611786591,2
1611786594,2
1611786597,2
1611786600,2
1611786603,2
1611786606,2
1611786609,2
1611786612,2
1611786615,2
1611786618,2
1611786621,2
1611786624,2
1611786627,2
1611786630,4
1611786633,4
1611786636,4
1611786639,4
1611786642,4
1611786645,4
1611786648,4
1611786651,4
1611786654,4
1611786657,4
1611786660,4
1611786663,4
1611786666,4
1611786669,4
1611786672,4
1611786675,4
1611786678,4
1611786681,4
1611786684,4
1611786687,4
1611786690,3
1611786693,3
1611786696,3
1611786699,3
1611786702,3
1611786705,4
1611786708,4
1611786711,4
1611786714,4
1611786717,4
1611786720,4
1611786723,4
1611786726,4
1611786729,4
1611786732,4
1611786735,4
1611786738,4
1611786741,4
1611786744,4
1611786747,4
1611786750,3
1611786753,3
1611786756,3
t,value
1611786810,-1
1611786813,-1
1611786816,3
1611786819,3
1611786822,3
1611786825,3
1611786828,3
1611786831,3
1611786834,3
1611786837,3
1611786840,3
1611786843,3
1611786846,3
1611786849,3
1611786852,3
1611786855,3
1611786858,3
1611786861,3
1611786864,3
1611786867,3
1611786870,3
1611786873,3
1611786876,3
1611786879,3
1611786882,3
1611786885,3
1611786888,3
1611786891,2
1611786894,2
1611786897,2
1611786900,2
1611786903,2
1611786906,2
1611786909,2
1611786912,2
1611786915,2
1611786918,2
1611786921,2
1611786924,2
1611786927,2
1611786930,2
1611786933,2
1611786936,2
1611786939,2
1611786942,2
1611786945,1
1611786948,1
1611786951,1
1611786954,1
1611786957,1
1611786960,3
1611786963,3
1611786966,3
1611786969,3
1611786972,3
1611786975,3
1611786978,3
1611786981,3
1611786984,3
1611786987,3
1611786990,3
1611786993,3
1611786996,3
1611786999,3
1611787002,3
1611787005,3
1611787008,3
1611787011,3
1611787014,3
1611787017,3
1611787020,2
1611787023,2
1611787026,3
1611787029,3
1611787032,3
1611787035,3
1611787038,3
1611787041,3
1611787044,3
1611787047,3
1611787050,3
1611787053,3
1611787056,3
1611787059,3
1611787062,3
1611787065,2
1611787068,2
1611787071,2
1611787074,2
1611787077,2
1611787080,2
1611787083,2
1611787086,2
1611787089,2
1611787092,2
1611787095,2
1611787098,2
1611787101,2
1611787104,2
1611787107,2
1611787110,2
1611787113,2
1611787116,2
1611787119,2
1611787122,2
1611787125,2
1611787128,2
1611787131,2
1611787134,2
1611787137,2
1611787140,2
1611787143,2
1611787146,2
1611787149,2
1611787152,2
1611787155,2
1611787158,2
1611787161,2
1611787164,2
1611787167,2
1611787170,3
