t,value
1611785967,6
t,value
1611786523,5
1611786526,5
1611786529,5
1611786532,5
1611786535,5
1611786538,5
1611786541,5
1611786544,5
1611786547,5
1611786550,5
t,value
1611786573,5
1611786576,5
1611786579,5
1611786582,5
1611786585,5
1611786588,5
1611786591,5
1611786594,5
1611786597,5
1611786600,11
1611786603,12
1611786606,12
1611786609,12
1611786612,12
1611786615,12
1611786618,12
1611786621,12
1611786624,12
1611786627,12
1611786630,13
1611786633,13
1611786636,13
1611786639,13
1611786642,13
1611786645,13
1611786648,13
1611786651,13
1611786654,13
1611786657,13
1611786660,13
1611786663,13
1611786666,13
1611786669,13
1611786672,13
1611786675,13
1611786678,13
1611786681,13
1611786684,13
1611786687,13
1611786690,13
1611786693,13
1611786696,13
1611786699,13
1611786702,13
1611786705,13
1611786708,13
1611786711,13
1611786714,13
1611786717,13
1611786720,13
1611786723,13
1611786726,13
1611786729,13
1611786732,13
1611786735,13
1611786738,13
1611786741,13
1611786744,13
1611786747,13
1611786750,13
1611786753,13
1611786756,13
t,value
1611786810,8
1611786813,9
1611786816,15
1611786819,18
1611786822,18
1611786825,20
1611786828,20
1611786831,20
1611786834,20
1611786837,20
1611786840,20
1611786843,20
1611786846,20
1611786849,20
1611786852,20
1611786855,20
1611786858,20
1611786861,20
1611786864,20
1611786867,20
1611786870,20
1611786873,20
1611786876,19
1611786879,19
1611786882,19
1611786885,19
1611786888,19
1611786891,21
1611786894,21
1611786897,21
1611786900,21
1611786903,21
1611786906,21
1611786909,21
1611786912,21
1611786915,21
1611786918,21
1611786921,21
1611786924,21
1611786927,21
1611786930,21
1611786933,21
1611786936,21
1611786939,21
1611786942,21
1611786945,20
1611786948,20
1611786951,20
1611786954,20
1611786957,20
1611786960,24
1611786963,24
1611786966,24
1611786969,24
1611786972,24
1611786975,24
1611786978,24
1611786981,24
1611786984,24
1611786987,24
1611786990,24
1611786993,25
1611786996,25
1611786999,25
1611787002,25
1611787005,25
1611787008,25
1611787011,25
1611787014,25
1611787017,25
1611787020,25
1611787023,25
1611787026,25
1611787029,25
1611787032,25
1611787035,25
1611787038,25
1611787041,25
1611787044,25
1611787047,25
1611787050,25
1611787053,25
1611787056,25
1611787059,25
1611787062,25
1611787065,25
1611787068,25
1611787071,25
1611787074,25
1611787077,25
1611787080,25
1611787083,24
1611787086,24
1611787089,24
1611787092,24
1611787095,24
1611787098,24
1611787101,24
1611787104,24
1611787107,24
1611787110,24
1611787113,24
1611787116,24
1611787119,24
1611787122,24
1611787125,24
1611787128,24
1611787131,24
1611787134,24
1611787137,24
1611787140,24
1611787143,24
1611787146,24
1611787149,24
1611787152,24
1611787155,24
1611787158,24
1611787161,24
1611787164,24
1611787167,23
1611787170,23
1611787173,23
1611787176,23
1611787179,23
1611787182,23
1611787185,23
1611787188,23
1611787191,23
1611787194,23
1611787197,23
1611787200,23
1611787203,23
1611787206,23
1611787209,23
1611787212,23
1611787215,23
1611787218,23
1611787221,23
1611787224,23
1611787227,23
1611787230,23
1611787233,23
1611787236,23
1611787239,23
1611787242,23
1611787245,23
1611787248,23
1611787251,23
1611787254,23
1611787257,23
1611787260,23
1611787263,23
1611787266,23
1611787269,23
1611787272,23
1611787275,23
1611787278,23
1611787281,23
1611787284,23
1611787287,23
1611787290,23
1611787293,23
1611787296,23
1611787299,23
1611787302,23
1611787305,23
1611787308,23
1611787311,23
1611787314,23
1611787317,23
1611787320,23
1611787323,23
1611787326,23
1611787329,23
1611787332,23
1611787335,23
1611787338,23
1611787341,23
1611787344,23
1611787347,23
1611787350,23
1611787353,23
1611787356,23
1611787359,23
1611787362,23
1611787365,23
1611787368,23
1611787371,23
1611787374,23
1611787377,23
1611787380,23
1611787383,23
1611787386,23
1611787389,23
1611787392,23
1611787395,23
1611787398,23
1611787401,23
1611787404,23
1611787407,23
1611787410,23
1611787413,23
1611787416,23
1611787419,23
1611787422,23
1611787425,23
1611787428,23
1611787431,23
1611787434,24
1611787437,24
1611787440,24
1611787443,24
1611787446,24
1611787449,24
1611787452,24
1611787455,24
1611787458,25
1611787461,25
1611787464,25
1611787467,25
1611787470,25
1611787473,25
1611787476,25
1611787479,25
1611787482,25
1611787485,25
1611787488,25
1611787491,25
1611787494,25
1611787497,25
1611787500,25
1611787503,25
1611787506,25
1611787509,25
1611787512,25
1611787515,25
1611787518,24
1611787521,24
1611787524,24
1611787527,24
