t,value
1611785967,204802
t,value
1611786523,200705
1611786526,200705
1611786529,200705
1611786532,200705
1611786535,200705
1611786538,200705
1611786541,200705
1611786544,200705
1611786547,200705
1611786550,200705
t,value
1611786573,200705
1611786576,200705
1611786579,200705
1611786582,200705
1611786585,200705
1611786588,200705
1611786591,200705
1611786594,200705
1611786597,200705
1611786600,4556012
1611786603,4571098
1611786606,4571098
1611786609,4571098
1611786612,4571098
1611786615,4571098
1611786618,4571098
1611786621,4571098
1611786624,4571098
1611786627,4571098
1611786630,4579290
1611786633,4579290
1611786636,4579290
1611786639,4579290
1611786642,4579290
1611786645,4579290
1611786648,4579290
1611786651,4579290
1611786654,4579290
1611786657,4579290
1611786660,4579290
1611786663,4579290
1611786666,4579290
1611786669,4579290
1611786672,4579290
1611786675,4579290
1611786678,4579290
1611786681,4579290
1611786684,4579290
1611786687,4579290
1611786690,4579290
1611786693,4579290
1611786696,4579290
1611786699,4579290
1611786702,4579290
1611786705,4579290
1611786708,4579290
1611786711,4579290
1611786714,4579290
1611786717,4579290
1611786720,4579290
1611786723,4579290
1611786726,4579290
1611786729,4579290
1611786732,4579290
1611786735,4579290
1611786738,4579290
1611786741,4579290
1611786744,4579290
1611786747,4579290
1611786750,4579290
1611786753,4579290
1611786756,4579290
t,value
1611786810,16982024
1611786813,33759240
1611786816,50606228
1611786819,100937876
1611786822,100937876
1611786825,134492308
1611786828,134492308
1611786831,134492308
1611786834,134492308
1611786837,134492308
1611786840,134492308
1611786843,134492308
1611786846,134492308
1611786849,134492308
1611786852,134492308
1611786855,134492308
1611786858,134492308
1611786861,134492308
1611786864,134492308
1611786867,134492308
1611786870,134492308
1611786873,134492308
1611786876,134474900
1611786879,134474900
1611786882,134474900
1611786885,134474900
1611786888,134474900
1611786891,134515860
1611786894,134515860
1611786897,134515860
1611786900,134515860
1611786903,134515860
1611786906,134515860
1611786909,134515860
1611786912,134515860
1611786915,134515860
1611786918,134515860
1611786921,134515860
1611786924,134515860
1611786927,134515860
1611786930,134515860
1611786933,134515860
1611786936,134515860
1611786939,134515860
1611786942,134515860
1611786945,134498452
1611786948,134498452
1611786951,134498452
1611786954,134498452
1611786957,134498452
1611786960,138837375
1611786963,138837375
1611786966,138837375
1611786969,138837375
1611786972,138837375
1611786975,138837375
1611786978,138837375
1611786981,138837375
1611786984,138837375
1611786987,138837375
1611786990,138837375
1611786993,138837625
1611786996,138837625
1611786999,138837625
1611787002,138837625
1611787005,138837625
1611787008,138837625
1611787011,138837625
1611787014,138837625
1611787017,138837625
1611787020,138837625
1611787023,138837625
1611787026,138837625
1611787029,138837625
1611787032,138837625
1611787035,138837625
1611787038,138837625
1611787041,138837625
1611787044,138837625
1611787047,138837625
1611787050,138837625
1611787053,138837625
1611787056,138837625
1611787059,138837625
1611787062,138837625
1611787065,138837625
1611787068,138837625
1611787071,138837625
1611787074,138837625
1611787077,138837625
1611787080,138837625
1611787083,138829433
1611787086,138829433
1611787089,138829433
1611787092,138829433
1611787095,138829433
1611787098,138829433
1611787101,138829433
1611787104,138829433
1611787107,138829433
1611787110,138829433
1611787113,138829433
1611787116,138829433
1611787119,138829433
1611787122,138829433
1611787125,138829433
1611787128,138829433
1611787131,138829433
1611787134,138829433
1611787137,138829433
1611787140,138829433
1611787143,138829433
1611787146,138829433
1611787149,138829433
1611787152,138829433
1611787155,138829433
1611787158,138829433
1611787161,138829433
1611787164,138829433
1611787167,138812025
1611787170,138812025
1611787173,138812025
1611787176,138812025
1611787179,138812025
1611787182,138812025
1611787185,138812025
1611787188,138812025
1611787191,138812025
1611787194,138812025
1611787197,138812025
1611787200,138812025
1611787203,138812025
1611787206,138812025
1611787209,138812025
1611787212,138812025
1611787215,138812025
1611787218,138812025
1611787221,138812025
1611787224,138812025
1611787227,138812025
1611787230,138812025
1611787233,138812025
1611787236,138812025
1611787239,138812025
1611787242,138812025
1611787245,138812025
1611787248,138812025
1611787251,138812025
1611787254,138812025
1611787257,138812025
1611787260,138812025
1611787263,138812025
1611787266,138812025
1611787269,138812025
1611787272,138812025
1611787275,138812025
1611787278,138812025
1611787281,138812025
1611787284,138812025
1611787287,138812025
1611787290,138812025
1611787293,138812025
1611787296,138812025
1611787299,138812025
1611787302,138812025
1611787305,138812025
1611787308,138812025
1611787311,138812025
1611787314,138812025
1611787317,138812025
1611787320,138812025
1611787323,138812025
1611787326,138812025
1611787329,138812025
1611787332,138812025
1611787335,138812025
1611787338,138812025
1611787341,138812025
1611787344,138812025
1611787347,138812025
1611787350,138812025
1611787353,138812025
1611787356,138812025
1611787359,138812025
1611787362,138812025
1611787365,138812025
1611787368,138812025
1611787371,138812025
1611787374,138812025
1611787377,138812025
1611787380,138812025
1611787383,138812025
1611787386,138812025
1611787389,138812025
1611787392,138812025
1611787395,138812025
1611787398,138812025
1611787401,138812025
1611787404,138812025
1611787407,138812025
1611787410,138812025
1611787413,138812025
1611787416,138812025
1611787419,138812025
1611787422,138812025
1611787425,138812025
1611787428,138812025
1611787431,138812025
1611787434,138820217
1611787437,138820217
1611787440,138820217
1611787443,138820217
1611787446,138820217
1611787449,138820217
1611787452,138820217
1611787455,138820217
1611787458,138828409
1611787461,138828409
1611787464,138828409
1611787467,138828409
1611787470,138828409
1611787473,138828409
1611787476,138828409
1611787479,138828409
1611787482,138828409
1611787485,138828409
1611787488,138828409
1611787491,138828409
1611787494,138828409
1611787497,138828409
1611787500,138828409
1611787503,138828409
1611787506,138828409
1611787509,138828409
1611787512,138828409
1611787515,138828409
1611787518,138820217
1611787521,138820217
1611787524,138820217
1611787527,138820217
1611787530,138820217
1611787533,138820217
1611787536,138820217
1611787539,138820217
1611787542,138820217
1611787545,138820217
1611787548,138820217
1611787551,138820217
1611787554,138820217
1611787557,138820217
1611787560,138820217
1611787563,138820217
1611787566,138820217
1611787569,138820217
1611787572,138820217
1611787575,138820217
1611787578,138820217
1611787581,138820217
1611787584,138820217
1611787587,138820217
1611787590,138820217
1611787593,138820217
1611787596,138820217
1611787599,138820217
1611787602,138820217
1611787605,138820217
1611787608,138820217
1611787611,138820217
1611787614,138820217
1611787617,138820217
1611787620,138820217
1611787623,138820217
1611787626,138820217
1611787629,138820217
1611787632,138820217
1611787635,138820217
1611787638,138820217
1611787641,138820217
1611787644,138820217
1611787647,138820217
1611787650,138820217
1611787653,138820217
1611787656,138820217
1611787659,138820217
1611787662,138820217
1611787665,138820217
1611787668,138820217
1611787671,138820217
1611787674,138820217
1611787677,138820217
1611787680,138820217
1611787683,138820217
1611787686,138820217
1611787689,138820217
1611787692,138820217
1611787695,138820217
1611787698,138820217
1611787701,138820217
1611787704,138820217
1611787707,138820217
1611787710,138820217
1611787713,138820217
1611787716,138820217
1611787719,138820217
1611787722,138820217
1611787725,138820217
1611787728,138820217
1611787731,138820217
1611787734,138820217
1611787737,138820217
1611787740,138820217
1611787743,138820217
1611787746,138820217
1611787749,138820217
1611787752,138820217
1611787755,138820217
1611787758,138820217
1611787761,138820217
1611787764,138820217
1611787767,138820217
1611787770,138820217
1611787773,138820217
1611787776,138820217
1611787779,138820217
1611787782,138820217
1611787785,138820217
1611787788,138820217
1611787791,138820217
1611787794,138820217
1611787797,138820217
1611787800,138820217
1611787803,138820217
1611787806,138820217
1611787809,138820217
1611787812,138820217
1611787815,138820217
1611787818,138820217
1611787821,138820217
1611787824,138820217
1611787827,138820217
1611787830,138820217
1611787833,138820217
1611787836,138820217
1611787839,138820217
1611787842,138820217
1611787845,138820217
1611787848,138820217
1611787851,138820217
1611787854,138820217
1611787857,138820217
1611787860,138820217
1611787863,138820217
1611787866,138820217
1611787869,138820217
1611787872,138820217
1611787875,138820217
1611787878,138820217
1611787881,138820217
1611787884,138820217
1611787887,138820217
1611787890,138820217
1611787893,138820217
1611787896,138820217
1611787899,138820217
1611787902,138820217
1611787905,138820217
1611787908,138820217
1611787911,138820217
1611787914,138820217
1611787917,138820217
1611787920,138820217
1611787923,138820217
1611787926,138820217
1611787929,138820217
1611787932,138820217
1611787935,138820217
1611787938,138820217
1611787941,138820217
1611787944,138820217
1611787947,138820217
1611787950,138820217
1611787953,138820217
1611787956,138820217
1611787959,138820217
1611787962,138820217
1611787965,138820217
1611787968,138820217
1611787971,138820217
1611787974,138820217
1611787977,138820217
1611787980,138820217
1611787983,138820217
1611787986,138820217
1611787989,138820217
1611787992,138820217
1611787995,138820217
1611787998,138820217
1611788001,138820217
1611788004,138820217
1611788007,138820217
1611788010,138820217
1611788013,138820217
1611788016,138820217
1611788019,138820217
1611788022,138820217
1611788025,138820217
1611788028,138820217
1611788031,138820217
1611788034,138820217
1611788037,138820217
1611788040,138820217
1611788043,138820217
1611788046,138820217
1611788049,138820217
1611788052,138820217
1611788055,138820217
1611788058,138820217
1611788061,138820217
1611788064,138820217
1611788067,138820217
1611788070,138820217
1611788073,138820217
1611788076,138820217
1611788079,138820217
1611788082,138820217
1611788085,138820217
1611788088,138820217
1611788091,138820217
1611788094,138820217
1611788097,138820217
1611788100,138820217
1611788103,138820217
1611788106,138820217
1611788109,138820217
1611788112,138820217
1611788115,138820217
1611788118,138820217
1611788121,138820217
1611788124,138820217
1611788127,138820217
1611788130,138820217
1611788133,138820217
1611788136,138820217
1611788139,138820217
1611788142,138820217
1611788145,138820217
1611788148,138820217
1611788151,138820217
1611788154,138820217
1611788157,138820217
1611788160,138820217
1611788163,138820217
1611788166,138820217
1611788169,138820217
1611788172,138820217
1611788175,138820217
1611788178,138820217
1611788181,138820217
1611788184,138820217
1611788187,138820217
1611788190,138820217
1611788193,138820217
1611788196,138820217
1611788199,138820217
1611788202,138820217
1611788205,138820217
1611788208,138820217
1611788211,138820217
1611788214,138820217
1611788217,138820217
1611788220,138820217
1611788223,138820217
1611788226,138820217
1611788229,138820217
1611788232,138820217
1611788235,138820217
