t,value
1611786523,9731904
1611786526,11605952
1611786529,13492416
1611786532,13536768
1611786535,13634624
1611786538,13664512
1611786541,13723520
1611786544,13761408
1611786547,13820288
1611786550,13837632
t,value
1611786573,10020800
1611786576,11866624
1611786579,13520384
1611786582,13588864
1611786585,13673984
1611786588,13706944
1611786591,13775232
1611786594,13806848
1611786597,13870016
1611786600,13558144
1611786603,13435456
1611786606,13540352
1611786609,13550208
1611786612,13583040
1611786615,13615232
1611786618,13627712
1611786621,13633920
1611786624,13671744
1611786627,13663936
1611786630,13381376
1611786633,13448384
1611786636,13470720
1611786639,13479232
1611786642,13486208
1611786645,13491904
1611786648,13498240
1611786651,13522816
1611786654,13522816
1611786657,13522816
1611786660,13526720
1611786663,13540224
1611786666,13544128
1611786669,13569216
1611786672,13576512
1611786675,13586624
1611786678,13570368
1611786681,13556800
1611786684,13556608
1611786687,13488064
1611786690,13408640
1611786693,13414720
1611786696,13427456
1611786699,13460224
1611786702,13496768
1611786705,13637376
1611786708,13647808
1611786711,13661952
1611786714,13662656
1611786717,13662656
1611786720,13668608
1611786723,13677696
1611786726,13677760
1611786729,13683968
1611786732,13683968
1611786735,13683968
1611786738,13684672
1611786741,13676544
1611786744,13670400
1611786747,13612544
1611786750,13643456
1611786753,13647680
1611786756,13648512
t,value
1611846476,10352320
1611846479,11526464
1611846482,13389632
1611846485,13441344
1611846488,13524608
1611846491,13558720
1611846494,13608576
1611846497,13645952
1611846500,13396480
1611846503,13396992
1611846506,13404160
1611846509,13428032
1611846512,13570368
1611846515,13602816
1611846518,13635968
1611846521,13659712
1611846524,13485888
1611846527,13407744
1611846530,13331648
1611846533,13265536
1611846536,13320512
1611846539,13339968
1611846542,13342144
1611846545,13342144
1611846548,13360000
1611846551,13368000
1611846554,13377856
1611846557,13379840
1611846560,13380672
1611846563,13384064
1611846566,13403072
1611846569,13407552
1611846572,13440768
1611846575,13449152
1611846578,13454784
1611846581,13458624
1611846584,13438528
1611846587,13438528
1611846590,13431808
1611846593,13354432
1611846596,13365760
1611846599,13373504
1611846602,13418624
1611846605,13446784
1611846608,13586496
1611846611,13595200
1611846614,13634560
1611846617,13682944
1611846620,13691904
1611846623,13694400
1611846626,13694400
1611846629,13690432
1611846632,13676096
1611846635,13676096
1611846638,14826816
1611846641,15123840
1611846644,15174784
1611846647,15179072
1611846650,15179776
1611846653,15162688
1611846656,15164160
1611846659,15165184
1611846662,15165184
1611846665,15167424
1611846668,15191552
1611846671,15235712
1611846674,15236416
1611846677,15269696
1611846680,15269696
1611846683,15271296
1611846686,15276672
1611846689,15311424
1611846692,15312064
1611846695,15313792
1611846698,15322752
1611846701,15329856
1611846704,15329856
1611846707,15330432
1611846710,15339328
1611846713,15356416
1611846716,15383232
1611846719,15383232
1611846722,15385344
1611846725,15388608
1611846728,15390912
t,value
1611849061,10279360
1611849064,11617152
1611849067,13112960
1611849070,13158016
1611849073,13249152
1611849076,13283392
1611849079,13337344
1611849082,13360192
1611849085,13253248
1611849088,13269184
1611849091,13283968
1611849094,13292864
1611849097,13307904
1611849100,13362880
1611849103,13391680
1611849106,13402816
1611849109,13401792
1611849112,13399680
1611849115,13411968
1611849118,13277440
1611849121,13180416
1611849124,13208768
1611849127,13208768
1611849130,13209984
1611849133,13227072
1611849136,13243648
1611849139,13257152
1611849142,13258688
1611849145,13260672
1611849148,13262400
1611849151,13274624
1611849154,13280576
1611849157,13289344
1611849160,13310080
1611849163,13316352
1611849166,13320192
1611849169,13309824
1611849172,13242624
1611849175,13175424
1611849178,13082624
1611849181,13088704
1611849184,13100480
1611849187,13158016
1611849190,13252992
1611849193,13398784
1611849196,13407488
1611849199,13405824
1611849202,13408896
1611849205,13436160
1611849208,13450560
1611849211,13528704
1611849214,13530112
1611849217,13559616
1611849220,13569408
1611849223,13572672
1611849226,13573376
1611849229,13576512
1611849232,13576512
1611849235,13959872
1611849238,14708416
1611849241,14717248
1611849244,14730688
1611849247,14733696
1611849250,14739456
1611849253,14775424
1611849256,14811520
1611849259,14824448
1611849262,14859776
1611849265,14859776
1611849268,14862400
1611849271,14878784
1611849274,14892544
1611849277,14892544
1611849280,14895232
1611849283,14904192
1611849286,14904192
1611849289,14861248
1611849292,14858176
1611849295,14831488
1611849298,14780480
1611849301,14807872
1611849304,14807872
1611849307,14808448
1611849310,14811904
1611849313,14814144
1611849316,14823104
1611849319,14865024
1611849322,14865024
1611849325,14871872
1611849328,14871872
1611849331,14876480
1611849334,14876480
1611849337,14884096
1611849340,14884096
1611849343,14885696
1611849346,14885696
1611849349,14885696
1611849352,14885696
1611849355,14885696
1611849358,14880960
1611849361,14880960
1611849364,14880960
1611849367,14881856
1611849370,14881856
1611849373,14914688
1611849376,14923200
1611849379,14923200
1611849382,14923200
1611849385,14923200
1611849388,14923200
1611849391,14923200
1611849394,14896064
1611849397,14896064
1611849400,14896064
1611849403,14896064
1611849406,14896064
1611849409,14896064
1611849412,14896064
1611849415,14896064
1611849418,14912640
1611849421,14896768
1611849424,14896768
1611849427,14896768
1611849430,14896768
1611849433,14896768
1611849436,14896768
1611849439,14896768
1611849442,14855552
1611849445,14836480
1611849448,14844352
1611849451,14844352
1611849454,14844352
1611849457,14844352
1611849460,14844352
1611849463,14844352
1611849466,14844352
1611849469,14844352
1611849472,14846272
