t,value
1611785967,1302656
t,value
1611786810,1324416
1611786813,1341824
1611786816,1385856
1611786819,1392640
1611786822,1392640
1611786825,1392640
1611786828,1398528
1611786831,1398528
1611786834,1398528
1611786837,1398528
1611786840,1398528
1611786843,1398528
1611786846,1398528
1611786849,1398528
1611786852,1398528
1611786855,1398528
1611786858,1410944
1611786861,1398528
1611786864,1398528
1611786867,1398528
1611786870,1398528
1611786873,1398528
1611786876,1398528
1611786879,1398528
1611786882,1398528
1611786885,1398528
1611786888,1398528
1611786891,1399168
1611786894,1399168
1611786897,1399168
1611786900,1399168
1611786903,1399168
1611786906,1399168
1611786909,1399168
1611786912,1399168
1611786915,1399168
1611786918,1399168
1611786921,1399168
1611786924,1399168
1611786927,1399168
1611786930,1399168
1611786933,1399168
1611786936,1399168
1611786939,1399168
1611786942,1399168
1611786945,1399168
1611786948,1399168
1611786951,1399168
1611786954,1399168
1611786957,1399168
1611786960,1399168
1611786963,1399168
1611786966,1399168
1611786969,1399168
1611786972,1399168
1611786975,1399168
1611786978,1399168
1611786981,1399168
1611786984,1399168
1611786987,1399168
1611786990,1399168
1611786993,1410432
1611786996,1410432
1611786999,1410432
1611787002,1410432
1611787005,1410432
1611787008,1410432
1611787011,1410432
1611787014,1410432
1611787017,1410432
1611787020,1410432
1611787023,1410432
1611787026,1410432
1611787029,1410432
1611787032,1410432
1611787035,1410432
1611787038,1410432
1611787041,1410432
1611787044,1410432
1611787047,1410432
1611787050,1410432
1611787053,1410432
1611787056,1410432
1611787059,1410432
1611787062,1410432
1611787065,1410432
1611787068,1410432
1611787071,1410432
1611787074,1410432
1611787077,1410432
1611787080,1410432
1611787083,1410432
1611787086,1410432
1611787089,1410432
1611787092,1410432
1611787095,1410432
1611787098,1410432
1611787101,1410432
1611787104,1410432
1611787107,1415808
1611787110,1415808
1611787113,1415808
1611787116,1415808
1611787119,1415808
1611787122,1417728
1611787125,1417728
1611787128,1417728
1611787131,1417728
1611787134,1417728
1611787137,1417728
