t,value
1611785967,2040320
t,value
1611786810,1928064
1611786813,2476544
1611786816,2871040
1611786819,3307520
1611786822,3348608
1611786825,3364608
1611786828,3815168
1611786831,3837056
1611786834,3837056
1611786837,3853824
1611786840,3854592
1611786843,3891968
1611786846,3980928
1611786849,4007040
1611786852,4007808
1611786855,4010880
1611786858,4033664
1611786861,4114944
1611786864,4121088
1611786867,4127360
1611786870,4127360
1611786873,4133504
1611786876,4133504
1611786879,4145280
1611786882,4145280
1611786885,4145280
1611786888,4145280
1611786891,4153344
1611786894,4154112
1611786897,4155392
1611786900,4182400
1611786903,4187264
1611786906,4209664
1611786909,4218240
1611786912,4219264
1611786915,4219264
1611786918,4236288
1611786921,3965184
1611786924,3966336
1611786927,3967872
1611786930,3969408
1611786933,3972224
1611786936,3976192
1611786939,4017024
1611786942,4019712
1611786945,4031232
1611786948,4033024
1611786951,4033024
1611786954,4036736
1611786957,4036736
1611786960,4088192
1611786963,4101120
1611786966,4102656
1611786969,4119296
1611786972,4132736
1611786975,4133376
1611786978,4162304
1611786981,4169600
1611786984,4169600
1611786987,4172544
1611786990,4173184
1611786993,4244480
1611786996,4245120
1611786999,4270976
1611787002,4279680
1611787005,4284928
1611787008,4287360
1611787011,4287360
1611787014,4293760
1611787017,4301568
1611787020,4318464
1611787023,4322048
1611787026,4328576
1611787029,4328576
1611787032,4329344
1611787035,4331648
1611787038,4357248
1611787041,4368896
1611787044,4370304
1611787047,4381696
1611787050,4381696
1611787053,4383232
1611787056,4383232
1611787059,4410496
1611787062,4412288
1611787065,4417920
1611787068,4419584
1611787071,4437504
1611787074,4437504
1611787077,4441088
1611787080,4474112
1611787083,4485888
1611787086,4491264
1611787089,4495232
1611787092,4502528
1611787095,4502528
1611787098,4506624
1611787101,4519552
1611787104,4519552
1611787107,4619392
1611787110,4620928
1611787113,4620928
1611787116,4620928
1611787119,4640128
1611787122,4745472
1611787125,4745472
1611787128,4745472
1611787131,4746368
1611787134,4746368
1611787137,4746368
1611787140,4752640
1611787143,4752640
1611787146,4759040
1611787149,4759040
1611787152,4760832
1611787155,4760832
1611787158,4762752
1611787161,4772992
1611787164,4772992
1611787167,4775424
1611787170,4775424
1611787173,4775424
1611787176,4775424
1611787179,4776320
1611787182,4776320
1611787185,4776320
1611787188,4776320
1611787191,4776320
1611787194,4787328
1611787197,4787328
1611787200,4795008
1611787203,4795008
1611787206,4795008
1611787209,4795008
1611787212,4795008
1611787215,4795648
1611787218,4801792
1611787221,4809216
1611787224,4809216
1611787227,4810624
1611787230,4811392
1611787233,4811392
1611787236,4811392
1611787239,4821248
1611787242,4823040
1611787245,4823040
1611787248,4823040
1611787251,4823040
1611787254,4824320
1611787257,4825472
1611787260,4834432
1611787263,4835584
1611787266,4835584
1611787269,4835584
1611787272,4835584
1611787275,4835584
1611787278,4840576
1611787281,4863488
1611787284,4863488
1611787287,4868224
1611787290,4874240
1611787293,4874240
1611787296,4874240
1611787299,4892160
1611787302,4892160
1611787305,4892160
1611787308,4892160
1611787311,4892160
1611787314,4892160
1611787317,4810368
1611787320,4824576
1611787323,4824576
1611787326,4824576
1611787329,4825472
1611787332,4825472
1611787335,4826112
1611787338,4835584
1611787341,4837120
1611787344,4837120
1611787347,4845056
1611787350,4845056
1611787353,4861312
1611787356,4864256
1611787359,4873216
1611787362,4873216
1611787365,4873216
1611787368,4876288
1611787371,4876288
1611787374,4876288
1611787377,4876288
1611787380,4884608
1611787383,4884608
1611787386,4885504
1611787389,4885504
1611787392,4886400
1611787395,4886400
1611787398,4890112
1611787401,4918016
1611787404,4918016
1611787407,4922496
1611787410,4929152
1611787413,4929152
1611787416,4929152
1611787419,4957824
1611787422,4959744
1611787425,4972032
1611787428,4972032
1611787431,4973440
1611787434,4980608
1611787437,5002240
1611787440,5042432
1611787443,5043456
1611787446,5080576
1611787449,5082112
1611787452,5082112
1611787455,5082112
1611787458,5185152
1611787461,5269632
1611787464,5272704
1611787467,5275008
1611787470,5277440
1611787473,5277440
1611787476,5277440
1611787479,5292160
1611787482,5292160
1611787485,5292160
1611787488,5292928
1611787491,5292928
1611787494,5293568
1611787497,5293568
1611787500,5306240
1611787503,5306240
1611787506,5306240
1611787509,5306240
1611787512,5306240
1611787515,5306240
1611787518,5317248
1611787521,5321088
1611787524,5321088
1611787527,5321088
1611787530,5321088
1611787533,5321088
1611787536,5321088
1611787539,5326848
1611787542,5326848
1611787545,5340160
1611787548,5340160
1611787551,5340160
1611787554,5340160
1611787557,5340160
1611787560,5350528
1611787563,5350528
1611787566,5354112
1611787569,5354112
1611787572,5354112
1611787575,5354112
1611787578,5368704
1611787581,5375104
1611787584,5375104
1611787587,5375744
1611787590,5375744
1611787593,5375744
1611787596,5375744
1611787599,5396352
1611787602,5396352
1611787605,5396352
1611787608,5396352
1611787611,5396352
1611787614,5396352
