t,value
1611785967,8367360
t,value
1611786810,8130944
1611786813,9016960
1611786816,10036864
1611786819,12001920
1611786822,12070400
1611786825,12183424
1611786828,14452096
1611786831,14476160
1611786834,14517504
1611786837,14527616
1611786840,14542080
1611786843,14581632
1611786846,14816128
1611786849,14871552
1611786852,14890496
1611786855,14901248
1611786858,15098112
1611786861,15490688
1611786864,15495552
1611786867,15521536
1611786870,15533952
1611786873,15539456
1611786876,15555456
1611786879,15722496
1611786882,15724928
1611786885,15724928
1611786888,15728384
1611786891,15763840
1611786894,15769600
1611786897,15769600
1611786900,15891584
1611786903,15897984
1611786906,15900928
1611786909,15906688
1611786912,15907840
1611786915,15910400
1611786918,15964032
1611786921,15309696
1611786924,15309696
1611786927,15334528
1611786930,15340928
1611786933,15345280
1611786936,15352064
1611786939,15472896
1611786942,15478400
1611786945,15488896
1611786948,15504384
1611786951,15513728
1611786954,15519488
1611786957,15519488
1611786960,15680512
1611786963,15684224
1611786966,15688960
1611786969,15688960
1611786972,15688960
1611786975,15688960
1611786978,15730304
1611786981,15779456
1611786984,15779456
1611786987,15788416
1611786990,15792768
1611786993,16178944
1611786996,16194560
1611786999,16318208
1611787002,16334592
1611787005,16334592
1611787008,16334592
1611787011,16343040
1611787014,16343040
1611787017,16344448
1611787020,16464384
1611787023,16464384
1611787026,16470272
1611787029,16470272
1611787032,16472064
1611787035,16473088
1611787038,16507648
1611787041,16547584
1611787044,16561920
1611787047,16583680
1611787050,16583680
1611787053,16587520
1611787056,16587520
1611787059,16628992
1611787062,16631296
1611787065,16655232
1611787068,16685440
1611787071,16692608
1611787074,16692608
1611787077,16693504
1611787080,16753920
1611787083,16791680
1611787086,16791680
1611787089,16791680
1611787092,16791680
1611787095,16791680
1611787098,16818816
1611787101,16858112
1611787104,16858112
1611787107,17544576
1611787110,17551232
1611787113,17569280
1611787116,17569280
1611787119,17649024
1611787122,17979520
1611787125,17992448
1611787128,18001280
1611787131,18001280
1611787134,18001280
1611787137,18001280
1611787140,18088832
1611787143,18096768
1611787146,18096768
1611787149,18102272
1611787152,18102272
1611787155,18102272
1611787158,18117248
1611787161,18167424
1611787164,18167424
1611787167,18174208
1611787170,18176256
1611787173,18176256
1611787176,18176256
1611787179,18220416
1611787182,18220416
1611787185,18220416
1611787188,18221440
1611787191,18234624
1611787194,18280960
1611787197,18292352
1611787200,18345344
1611787203,18345344
1611787206,18345344
1611787209,18345344
1611787212,18345344
1611787215,18345344
1611787218,18361216
1611787221,18393088
1611787224,18393088
1611787227,18431488
1611787230,18431488
1611787233,18431488
1611787236,18431488
1611787239,18452736
1611787242,18452736
1611787245,18452736
1611787248,18463616
1611787251,18463616
1611787254,18463616
1611787257,18465024
1611787260,18526080
1611787263,18535680
1611787266,18535680
1611787269,18537728
1611787272,18537728
1611787275,18537728
1611787278,18544512
1611787281,18578048
1611787284,18578048
1611787287,18587264
1611787290,18587264
1611787293,18587264
1611787296,18587264
1611787299,18633984
1611787302,18633984
1611787305,18633984
1611787308,18633984
1611787311,18633984
1611787314,18633984
