t,value
1611785967,5848480
t,value
1611786523,5797040
1611786526,8435872
1611786529,9337768
1611786532,9338376
1611786535,9338376
1611786538,9338376
1611786541,9338376
1611786544,9338376
1611786547,9338376
1611786550,9338376
t,value
1611786573,5997160
1611786576,8979728
1611786579,9337768
1611786582,9338376
1611786585,9338376
1611786588,9338376
1611786591,9338376
1611786594,9338376
1611786597,9338376
1611786600,9487488
1611786603,9487488
1611786606,9487488
1611786609,9487488
1611786612,9487488
1611786615,9487488
1611786618,9487488
1611786621,9487488
1611786624,9487488
1611786627,9487488
1611786630,9488576
1611786633,9488576
1611786636,9488576
1611786639,9488576
1611786642,9488576
1611786645,9488576
1611786648,9488576
1611786651,9488576
1611786654,9488576
1611786657,9488576
1611786660,9488576
1611786663,9488576
1611786666,9488576
1611786669,9488576
1611786672,9488576
1611786675,9488576
1611786678,9488576
1611786681,9488576
1611786684,9488576
1611786687,9488576
1611786690,9488576
1611786693,9488576
1611786696,9488576
1611786699,9488576
1611786702,9488576
1611786705,9488576
1611786708,9488576
1611786711,9488576
1611786714,9488576
1611786717,9488576
1611786720,9488576
1611786723,9488576
1611786726,9488576
1611786729,9488576
1611786732,9488576
1611786735,9488576
1611786738,9488576
1611786741,9488576
1611786744,9488576
1611786747,9488576
1611786750,9488576
1611786753,9488576
1611786756,9488576
t,value
1611786810,6946376
1611786813,8915856
1611786816,10600136
1611786819,11596624
1611786822,11596624
1611786825,11627312
1611786828,11747184
1611786831,11747184
1611786834,11747184
1611786837,11747184
1611786840,11747184
1611786843,11747184
1611786846,11749256
1611786849,11749256
1611786852,11749256
1611786855,11749256
1611786858,11749256
1611786861,11749256
1611786864,11749256
1611786867,11749256
1611786870,11749256
1611786873,11749256
1611786876,11749256
1611786879,11751368
1611786882,11751368
1611786885,11751368
1611786888,11751368
1611786891,11761664
1611786894,11761664
1611786897,11761664
1611786900,11761664
1611786903,11761664
1611786906,11761664
1611786909,11761664
1611786912,11761664
1611786915,11761664
1611786918,11761664
1611786921,11761664
1611786924,11761664
1611786927,11761664
1611786930,11761664
1611786933,11761664
1611786936,11761664
1611786939,11761664
1611786942,11761664
1611786945,11761664
1611786948,11761664
1611786951,11761664
1611786954,11761664
1611786957,11761664
1611786960,11768920
1611786963,11768920
1611786966,11768920
1611786969,11768920
1611786972,11768920
1611786975,11768920
1611786978,11768920
1611786981,11768920
1611786984,11768920
1611786987,11768920
1611786990,11768920
1611786993,12121768
1611786996,12121768
1611786999,12121768
1611787002,12121768
1611787005,12121768
1611787008,12121768
1611787011,12121768
1611787014,12121768
1611787017,12121768
1611787020,12121768
1611787023,12121768
1611787026,12121768
1611787029,12121768
1611787032,12121768
1611787035,12121768
1611787038,12121768
1611787041,12121768
1611787044,12121768
1611787047,12121768
1611787050,12121768
1611787053,12121768
1611787056,12121768
1611787059,12123424
1611787062,12123424
1611787065,12123424
1611787068,12123424
1611787071,12123424
1611787074,12123424
1611787077,12123424
1611787080,12125080
1611787083,12125080
1611787086,12125080
1611787089,12125080
1611787092,12125080
1611787095,12125080
1611787098,12125632
1611787101,12125632
1611787104,12125632
1611787107,12401040
1611787110,12401040
1611787113,12401040
1611787116,12401040
1611787119,12401040
1611787122,12549600
1611787125,12549600
1611787128,12549600
1611787131,12549600
1611787134,12549600
1611787137,12549600
1611787140,12549600
1611787143,12549600
1611787146,12549600
1611787149,12549600
1611787152,12549600
1611787155,12549600
1611787158,12549600
1611787161,12551712
1611787164,12551712
1611787167,12551712
1611787170,12551712
1611787173,12551712
1611787176,12551712
1611787179,12551712
1611787182,12551712
1611787185,12551712
1611787188,12551712
1611787191,12551712
1611787194,12551712
1611787197,12551712
1611787200,12551712
1611787203,12551712
1611787206,12551712
1611787209,12551712
1611787212,12551712
1611787215,12551712
1611787218,12551712
1611787221,12551712
1611787224,12551712
1611787227,12551712
1611787230,12551712
1611787233,12551712
1611787236,12551712
1611787239,12551712
1611787242,12551712
1611787245,12551712
1611787248,12551712
1611787251,12551712
1611787254,12551712
1611787257,12551712
1611787260,12551712
1611787263,12551712
1611787266,12551712
1611787269,12551712
1611787272,12551712
1611787275,12551712
1611787278,12551712
