t,value
1611785967,94371840
t,value
1611786523,90177536
1611786526,81788928
1611786529,101711872
1611786532,102760448
1611786535,102760448
1611786538,103809024
1611786541,103809024
1611786544,103809024
1611786547,104857600
1611786550,104857600
t,value
1611786573,113246208
1611786576,24117248
1611786579,105906176
1611786582,106954752
1611786585,106954752
1611786588,108003328
1611786591,108003328
1611786594,108003328
1611786597,109051904
1611786600,117440512
1611786603,118489088
1611786606,119537664
1611786609,119537664
1611786612,119537664
1611786615,120586240
1611786618,120586240
1611786621,121634816
1611786624,122683392
1611786627,122683392
1611786630,123731968
1611786633,124780544
1611786636,124780544
1611786639,125829120
1611786642,125829120
1611786645,126877696
1611786648,126877696
1611786651,126877696
1611786654,127926272
1611786657,127926272
1611786660,128974848
1611786663,128974848
1611786666,130023424
1611786669,130023424
1611786672,130023424
1611786675,131072000
1611786678,131072000
1611786681,132120576
1611786684,132120576
1611786687,132120576
1611786690,133169152
1611786693,134217728
1611786696,134217728
1611786699,134217728
1611786702,135266304
1611786705,135266304
1611786708,136314880
1611786711,136314880
1611786714,137363456
1611786717,137363456
1611786720,138412032
1611786723,138412032
1611786726,138412032
1611786729,139460608
1611786732,139460608
1611786735,140509184
1611786738,140509184
1611786741,140509184
1611786744,141557760
1611786747,142606336
1611786750,142606336
1611786753,143654912
1611786756,143654912
t,value
1611786810,45088768
1611786813,48234496
1611786816,7340032
1611786819,74448896
1611786822,75497472
1611786825,77594624
1611786828,115343360
1611786831,116391936
1611786834,116391936
1611786837,116391936
1611786840,117440512
1611786843,117440512
1611786846,121634816
1611786849,122683392
1611786852,123731968
1611786855,123731968
1611786858,124780544
1611786861,131072000
1611786864,132120576
1611786867,134217728
1611786870,135266304
1611786873,135266304
1611786876,136314880
1611786879,139460608
1611786882,139460608
1611786885,140509184
1611786888,140509184
1611786891,141557760
1611786894,142606336
1611786897,142606336
1611786900,146800640
1611786903,146800640
1611786906,146800640
1611786909,147849216
1611786912,147849216
1611786915,148897792
1611786918,150994944
1611786921,152043520
1611786924,153092096
1611786927,153092096
1611786930,154140672
1611786933,154140672
1611786936,155189248
1611786939,158334976
1611786942,159383552
1611786945,159383552
1611786948,160432128
1611786951,160432128
1611786954,160432128
1611786957,161480704
1611786960,165675008
1611786963,166723584
1611786966,166723584
1611786969,167772160
1611786972,167772160
1611786975,168820736
1611786978,170917888
1611786981,171966464
1611786984,173015040
1611786987,174063616
1611786990,174063616
1611786993,196083712
1611786996,196083712
1611786999,200278016
1611787002,200278016
1611787005,201326592
1611787008,201326592
1611787011,201326592
1611787014,202375168
1611787017,202375168
1611787020,205520896
1611787023,206569472
1611787026,206569472
1611787029,207618048
1611787032,207618048
1611787035,208666624
1611787038,210763776
1611787041,211812352
1611787044,212860928
1611787047,212860928
1611787050,212860928
1611787053,213909504
1611787056,213909504
1611787059,218103808
1611787062,219152384
1611787065,219152384
1611787068,220200960
1611787071,220200960
1611787074,221249536
1611787077,221249536
1611787080,224395264
1611787083,225443840
1611787086,226492416
1611787089,226492416
1611787092,226492416
1611787095,227540992
1611787098,229638144
1611787101,230686720
1611787104,231735296
1611787107,252706816
1611787110,252706816
1611787113,252706816
1611787116,253755392
1611787119,256901120
1611787122,271581184
1611787125,272629760
1611787128,272629760
1611787131,272629760
1611787134,273678336
1611787137,273678336
1611787140,276824064
1611787143,277872640
1611787146,277872640
1611787149,277872640
1611787152,278921216
1611787155,278921216
1611787158,282066944
1611787161,283115520
1611787164,284164096
1611787167,284164096
1611787170,285212672
1611787173,285212672
1611787176,285212672
1611787179,289406976
1611787182,289406976
1611787185,290455552
1611787188,290455552
1611787191,290455552
1611787194,291504128
1611787197,291504128
1611787200,295698432
1611787203,295698432
1611787206,295698432
1611787209,296747008
1611787212,296747008
1611787215,297795584
1611787218,2097152
1611787221,5242880
1611787224,5242880
1611787227,6291456
1611787230,7340032
1611787233,8388608
1611787236,8388608
1611787239,13631488
1611787242,13631488
1611787245,13631488
1611787248,14680064
1611787251,14680064
1611787254,15728640
1611787257,15728640
1611787260,18874368
1611787263,19922944
1611787266,19922944
1611787269,20971520
1611787272,20971520
1611787275,20971520
1611787278,24117248
1611787281,25165824
1611787284,26214400
1611787287,26214400
1611787290,27262976
1611787293,27262976
1611787296,27262976
1611787299,31457280
1611787302,32505856
1611787305,32505856
1611787308,32505856
1611787311,33554432
1611787314,33554432
1611787317,34603008
1611787320,37748736
1611787323,37748736
1611787326,38797312
1611787329,38797312
1611787332,38797312
1611787335,39845888
1611787338,41943040
1611787341,44040192
1611787344,44040192
1611787347,44040192
1611787350,45088768
1611787353,45088768
1611787356,46137344
1611787359,49283072
1611787362,50331648
1611787365,50331648
1611787368,51380224
1611787371,51380224
1611787374,51380224
1611787377,52428800
1611787380,56623104
1611787383,56623104
1611787386,57671680
1611787389,57671680
1611787392,57671680
1611787395,58720256
1611787398,59768832
1611787401,61865984
1611787404,61865984
1611787407,63963136
1611787410,63963136
1611787413,65011712
1611787416,66060288
1611787419,68157440
1611787422,69206016
1611787425,69206016
1611787428,70254592
1611787431,70254592
1611787434,71303168
1611787437,72351744
1611787440,75497472
1611787443,75497472
1611787446,76546048
1611787449,76546048
1611787452,76546048
1611787455,77594624
1611787458,88080384
1611787461,99614720
1611787464,100663296
1611787467,100663296
1611787470,100663296
1611787473,101711872
1611787476,101711872
1611787479,105906176
1611787482,105906176
1611787485,106954752
1611787488,108003328
1611787491,108003328
1611787494,108003328
1611787497,109051904
1611787500,112197632
1611787503,112197632
1611787506,112197632
1611787509,113246208
1611787512,113246208
1611787515,114294784
1611787518,118489088
1611787521,120586240
1611787524,121634816
1611787527,121634816
1611787530,122683392
1611787533,122683392
1611787536,122683392
1611787539,126877696
1611787542,127926272
1611787545,127926272
1611787548,127926272
1611787551,128974848
1611787554,128974848
1611787557,130023424
1611787560,133169152
1611787563,134217728
1611787566,134217728
1611787569,135266304
1611787572,135266304
1611787575,135266304
1611787578,138412032
1611787581,139460608
1611787584,140509184
1611787587,140509184
1611787590,141557760
1611787593,141557760
1611787596,142606336
1611787599,145752064
1611787602,145752064
1611787605,146800640
1611787608,146800640
1611787611,147849216
1611787614,147849216
1611787617,147849216
1611787620,152043520
1611787623,152043520
1611787626,153092096
1611787629,153092096
1611787632,153092096
1611787635,154140672
1611787638,156237824
1611787641,157286400
1611787644,158334976
1611787647,158334976
1611787650,159383552
1611787653,159383552
1611787656,160432128
1611787659,163577856
1611787662,164626432
1611787665,164626432
1611787668,164626432
1611787671,165675008
1611787674,165675008
1611787677,165675008
1611787680,168820736
1611787683,169869312
1611787686,169869312
1611787689,170917888
1611787692,170917888
1611787695,171966464
1611787698,174063616
1611787701,176160768
1611787704,176160768
1611787707,176160768
1611787710,177209344
1611787713,177209344
1611787716,178257920
1611787719,181403648
1611787722,181403648
1611787725,182452224
1611787728,182452224
1611787731,182452224
1611787734,183500800
1611787737,183500800
1611787740,187695104
1611787743,187695104
1611787746,188743680
1611787749,188743680
1611787752,188743680
1611787755,189792256
1611787758,191889408
1611787761,193986560
1611787764,193986560
1611787767,195035136
1611787770,195035136
1611787773,196083712
1611787776,196083712
1611787779,199229440
1611787782,200278016
1611787785,200278016
1611787788,200278016
1611787791,201326592
1611787794,201326592
1611787797,202375168
1611787800,205520896
1611787803,205520896
1611787806,206569472
1611787809,206569472
1611787812,207618048
1611787815,207618048
1611787818,209715200
1611787821,210763776
1611787824,211812352
1611787827,211812352
1611787830,212860928
1611787833,212860928
1611787836,212860928
1611787839,217055232
1611787842,217055232
1611787845,218103808
1611787848,218103808
1611787851,219152384
1611787854,219152384
1611787857,220200960
1611787860,222298112
1611787863,223346688
1611787866,223346688
1611787869,224395264
1611787872,225443840
1611787875,225443840
1611787878,227540992
1611787881,228589568
1611787884,229638144
1611787887,230686720
1611787890,230686720
1611787893,230686720
1611787896,231735296
1611787899,235929600
1611787902,235929600
1611787905,235929600
1611787908,236978176
1611787911,236978176
1611787914,238026752
1611787917,238026752
1611787920,241172480
1611787923,242221056
1611787926,243269632
1611787929,243269632
1611787932,243269632
1611787935,243269632
1611787938,246415360
1611787941,247463936
1611787944,247463936
1611787947,248512512
1611787950,249561088
1611787953,249561088
1611787956,249561088
1611787959,253755392
1611787962,253755392
1611787965,254803968
1611787968,254803968
1611787971,254803968
1611787974,255852544
1611787977,255852544
1611787980,260046848
1611787983,260046848
1611787986,260046848
1611787989,261095424
1611787992,261095424
1611787995,262144000
1611787998,264241152
1611788001,266338304
1611788004,266338304
1611788007,267386880
1611788010,268435456
1611788013,268435456
1611788016,268435456
1611788019,272629760
1611788022,272629760
1611788025,273678336
