t,value
1611785967,26110976
t,value
1611786523,6291464
1611786526,7340040
1611786529,6815744
1611786532,6815744
1611786535,6815744
1611786538,6815744
1611786541,6815744
1611786544,6815744
1611786547,6815744
1611786550,6815744
t,value
1611786573,6815744
1611786576,6815744
1611786579,6815744
1611786582,6815744
1611786585,6815744
1611786588,6815744
1611786591,6815744
1611786594,6815744
1611786597,6815744
1611786600,6815744
1611786603,6815744
1611786606,6815744
1611786609,6815744
1611786612,6815744
1611786615,6815744
1611786618,6815744
1611786621,6815744
1611786624,6815744
1611786627,6815744
1611786630,6815744
1611786633,6815744
1611786636,6815744
1611786639,6815744
1611786642,6815744
1611786645,6815744
1611786648,6815744
1611786651,6815744
1611786654,6815744
1611786657,6815744
1611786660,6815744
1611786663,6815744
1611786666,6815744
1611786669,6815744
1611786672,6815744
1611786675,6815744
1611786678,6815744
1611786681,6815744
1611786684,6815744
1611786687,6815744
1611786690,6815744
1611786693,6815744
1611786696,6815744
1611786699,6815744
1611786702,6815744
1611786705,6815744
1611786708,6815744
1611786711,6815744
1611786714,6815744
1611786717,6815744
1611786720,6815744
1611786723,6815744
1611786726,6815744
1611786729,6815744
1611786732,6815744
1611786735,6815744
1611786738,6815744
1611786741,6815744
1611786744,6815744
1611786747,6815744
1611786750,6815744
1611786753,6815744
1611786756,6815744
t,value
1611786810,27098104
1611786813,31627552
1611786816,33036832
1611786819,33036832
1611786822,33036832
1611786825,33036832
1611786828,33036832
1611786831,33036832
1611786834,33036832
1611786837,33036832
1611786840,33036832
1611786843,33036832
1611786846,33036832
1611786849,33036832
1611786852,33036832
1611786855,33036832
1611786858,33036832
1611786861,33036832
1611786864,33036832
1611786867,33036832
1611786870,33036832
1611786873,33036832
1611786876,33036832
1611786879,33036832
1611786882,33036832
1611786885,33036832
1611786888,33036832
1611786891,33036832
1611786894,33036832
1611786897,33036832
1611786900,33036832
1611786903,33036832
1611786906,33036832
1611786909,33036832
1611786912,33036832
1611786915,33036832
1611786918,33036832
1611786921,33036832
1611786924,33036832
1611786927,33036832
1611786930,33036832
1611786933,33036832
1611786936,33036832
1611786939,33036832
1611786942,33036832
1611786945,33036832
1611786948,33036832
1611786951,33036832
1611786954,33036832
1611786957,33036832
1611786960,33036832
1611786963,33036832
1611786966,33036832
1611786969,33036832
1611786972,33036832
1611786975,33036832
1611786978,33036832
1611786981,33036832
1611786984,33036832
1611786987,33036832
1611786990,33036832
1611786993,33036832
1611786996,33036832
1611786999,33036832
1611787002,33036832
1611787005,33036832
1611787008,33036832
1611787011,33036832
1611787014,33036832
1611787017,33036832
1611787020,33036832
1611787023,33036832
1611787026,33036832
1611787029,33036832
1611787032,33036832
1611787035,33036832
1611787038,33036832
1611787041,33036832
1611787044,33036832
1611787047,33036832
1611787050,33036832
1611787053,33036832
1611787056,33036832
1611787059,33036832
1611787062,33036832
1611787065,33036832
1611787068,33036832
1611787071,33036832
1611787074,33036832
1611787077,33036832
1611787080,33036832
1611787083,33036832
1611787086,33036832
1611787089,33036832
1611787092,33036832
1611787095,33036832
1611787098,33036832
1611787101,33036832
1611787104,33036832
1611787107,33036832
1611787110,33036832
1611787113,33036832
1611787116,33036832
1611787119,33036832
1611787122,33036832
1611787125,33036832
1611787128,33036832
1611787131,33036832
1611787134,33036832
1611787137,33036832
1611787140,33036832
1611787143,33036832
1611787146,33036832
1611787149,33036832
1611787152,33036832
1611787155,33036832
1611787158,33036832
1611787161,33036832
1611787164,33036832
1611787167,33036832
1611787170,33036832
1611787173,33036832
1611787176,33036832
1611787179,33036832
1611787182,33036832
1611787185,33036832
1611787188,33036832
1611787191,33036832
1611787194,33036832
1611787197,33036832
1611787200,33036832
1611787203,33036832
1611787206,33036832
1611787209,33036832
1611787212,33036832
1611787215,33036832
1611787218,32715776
1611787221,32715776
1611787224,32715776
1611787227,32715776
1611787230,32715776
1611787233,32715776
1611787236,32715776
1611787239,32715776
1611787242,32715776
1611787245,32715776
1611787248,32715776
1611787251,32715776
1611787254,32715776
1611787257,32715776
1611787260,32715776
1611787263,32715776
1611787266,32715776
1611787269,32715776
1611787272,32715776
1611787275,32715776
1611787278,32715776
1611787281,32715776
1611787284,32715776
1611787287,32715776
1611787290,32715776
1611787293,32715776
1611787296,32715776
1611787299,32715776
1611787302,32715776
1611787305,32715776
1611787308,32715776
1611787311,32715776
1611787314,32715776
1611787317,32715776
1611787320,32715776
1611787323,32715776
1611787326,32715776
1611787329,32715776
1611787332,32715776
1611787335,32715776
1611787338,32715776
1611787341,32715776
1611787344,32715776
1611787347,32715776
1611787350,32715776
1611787353,32715776
1611787356,32715776
1611787359,32715776
1611787362,32715776
1611787365,32715776
1611787368,32715776
1611787371,32715776
1611787374,32715776
1611787377,32715776
1611787380,32715776
1611787383,32715776
1611787386,32715776
1611787389,32715776
1611787392,32715776
1611787395,32715776
1611787398,32715776
1611787401,32715776
1611787404,32715776
1611787407,32715776
1611787410,32715776
1611787413,32715776
1611787416,32715776
1611787419,32715776
1611787422,32715776
1611787425,32715776
1611787428,32715776
1611787431,32715776
1611787434,32715776
1611787437,32715776
1611787440,32715776
1611787443,32715776
1611787446,32715776
1611787449,32715776
1611787452,32715776
1611787455,32715776
1611787458,32715776
1611787461,32715776
1611787464,32715776
1611787467,32715776
1611787470,32715776
1611787473,32715776
1611787476,32715776
1611787479,32715776
1611787482,32715776
1611787485,32715776
1611787488,32715776
1611787491,32715776
1611787494,32715776
1611787497,32715776
1611787500,32715776
1611787503,32715776
1611787506,32715776
1611787509,32715776
1611787512,32715776
1611787515,32715776
1611787518,32715776
1611787521,32715776
1611787524,32715776
1611787527,32715776
1611787530,32715776
1611787533,32715776
1611787536,32715776
1611787539,32715776
1611787542,32715776
1611787545,32715776
1611787548,32715776
1611787551,32715776
1611787554,32715776
1611787557,32715776
1611787560,32715776
1611787563,32715776
1611787566,32715776
1611787569,32715776
1611787572,32715776
1611787575,32715776
1611787578,32715776
1611787581,32715776
1611787584,32715776
1611787587,32715776
1611787590,32715776
1611787593,32715776
1611787596,32715776
1611787599,32715776
1611787602,32715776
1611787605,32715776
1611787608,32715776
1611787611,32715776
1611787614,32715776
1611787617,32715776
1611787620,32715776
1611787623,32715776
1611787626,32715776
1611787629,32715776
1611787632,32715776
1611787635,32715776
1611787638,32715776
1611787641,32715776
1611787644,32715776
1611787647,32715776
1611787650,32715776
1611787653,32715776
1611787656,32715776
1611787659,32715776
1611787662,32715776
1611787665,32715776
1611787668,32715776
1611787671,32715776
1611787674,32715776
1611787677,32715776
1611787680,32715776
1611787683,32715776
1611787686,32715776
1611787689,32715776
1611787692,32715776
1611787695,32715776
1611787698,32715776
1611787701,32715776
1611787704,32715776
1611787707,32715776
1611787710,32715776
1611787713,32715776
1611787716,32715776
1611787719,32715776
1611787722,32715776
1611787725,32715776
1611787728,32715776
1611787731,32715776
1611787734,32715776
1611787737,32715776
1611787740,32715776
1611787743,32715776
1611787746,32715776
1611787749,32715776
1611787752,32715776
1611787755,32715776
1611787758,32715776
1611787761,32715776
1611787764,32715776
1611787767,32715776
1611787770,32715776
1611787773,32715776
1611787776,32715776
1611787779,32715776
1611787782,32715776
1611787785,32715776
1611787788,32715776
1611787791,32715776
1611787794,32715776
1611787797,32715776
1611787800,32715776
1611787803,32715776
1611787806,32715776
1611787809,32715776
1611787812,32715776
1611787815,32715776
1611787818,32715776
1611787821,32715776
1611787824,32715776
1611787827,32715776
1611787830,32715776
1611787833,32715776
1611787836,32715776
1611787839,32715776
1611787842,32715776
1611787845,32715776
1611787848,32715776
1611787851,32715776
1611787854,32715776
1611787857,32715776
1611787860,32715776
1611787863,32715776
1611787866,32715776
1611787869,32715776
1611787872,32715776
1611787875,32715776
1611787878,32715776
1611787881,32715776
1611787884,32715776
1611787887,32715776
1611787890,32715776
1611787893,32715776
1611787896,32715776
1611787899,32715776
1611787902,32715776
1611787905,32715776
1611787908,32715776
1611787911,32715776
1611787914,32715776
1611787917,32715776
1611787920,32715776
1611787923,32715776
1611787926,32715776
1611787929,32715776
1611787932,32715776
1611787935,32715776
1611787938,32715776
1611787941,32715776
1611787944,32715776
1611787947,32715776
1611787950,32715776
1611787953,32715776
1611787956,32715776
1611787959,32715776
1611787962,32715776
1611787965,32715776
1611787968,32715776
1611787971,32715776
1611787974,32715776
1611787977,32715776
1611787980,32715776
1611787983,32715776
1611787986,32715776
1611787989,32715776
1611787992,32715776
1611787995,32715776
1611787998,32715776
1611788001,32715776
1611788004,32715776
1611788007,32715776
1611788010,32715776
1611788013,32715776
1611788016,32715776
1611788019,32715776
1611788022,32715776
1611788025,32715776
1611788028,32715776
1611788031,32715776
1611788034,32715776
1611788037,32715776
1611788040,32715776
1611788043,32715776
1611788046,32715776
1611788049,32715776
1611788052,32715776
1611788055,32715776
1611788058,32715776
1611788061,32715776
1611788064,32715776
1611788067,32715776
1611788070,32715776
1611788073,32715776
1611788076,32715776
1611788079,32715776
1611788082,32715776
1611788085,32715776
1611788088,32715776
1611788091,32715776
1611788094,32715776
1611788097,32715776
1611788100,32715776
1611788103,32715776
1611788106,32715776
1611788109,32715776
1611788112,32715776
1611788115,32715776
1611788118,32715776
1611788121,33240064
1611788124,33240064
1611788127,33240064
1611788130,33240064
1611788133,33240064
1611788136,33240064
1611788139,33240064
1611788142,33240064
1611788145,33240064
1611788148,33240064
1611788151,33240064
1611788154,33240064
1611788157,33240064
1611788160,33240064
1611788163,33240064
1611788166,33240064
1611788169,33240064
1611788172,33240064
1611788175,33240064
1611788178,33240064
1611788181,33240064
1611788184,33240064
1611788187,33240064
1611788190,33240064
1611788193,33240064
1611788196,33240064
1611788199,33240064
1611788202,33240064
1611788205,33240064
1611788208,33240064
1611788211,33240064
1611788214,33240064
1611788217,33240064
1611788220,33240064
1611788223,33240064
1611788226,33240064
1611788229,33240064
1611788232,33240064
1611788235,33240064
1611788238,33240064
1611788241,33240064
1611788244,33240064
1611788247,33240064
1611788250,33240064
1611788253,33240064
1611788256,33240064
1611788259,33240064
1611788262,33240064
1611788265,33240064
1611788268,33240064
1611788271,33240064
1611788274,33240064
1611788277,33240064
1611788280,33240064
1611788283,33240064
1611788286,33240064
1611788289,33240064
1611788292,33240064
1611788295,33240064
1611788298,33240064
1611788301,33240064
1611788304,33240064
1611788307,33240064
1611788310,33240064
1611788313,33240064
1611788316,33240064
1611788319,33240064
1611788322,33240064
1611788325,33240064
1611788328,33240064
1611788331,33240064
1611788334,33240064
1611788337,33240064
1611788340,33240064
1611788343,33240064
1611788346,33240064
1611788349,33240064
1611788352,33240064
1611788355,33240064
1611788358,33240064
1611788361,33240064
1611788364,33240064
1611788367,33240064
1611788370,33240064
1611788373,33240064
1611788376,33240064
1611788379,33240064
1611788382,33240064
1611788385,33240064
1611788388,33240064
1611788391,33240064
1611788394,33240064
1611788397,33240064
1611788400,33240064
1611788403,33240064
1611788406,33240064
1611788409,33240064
1611788412,33240064
1611788415,33240064
1611788418,33240064
1611788421,33240064
1611788424,33240064
1611788427,33240064
1611788430,33240064
1611788433,33240064
1611788436,33240064
1611788439,33240064
1611788442,33240064
1611788445,33240064
1611788448,33240064
1611788451,33240064
1611788454,33240064
1611788457,33240064
1611788460,33240064
1611788463,33240064
1611788466,33240064
1611788469,33240064
1611788472,33240064
1611788475,33240064
1611788478,33240064
1611788481,33240064
1611788484,33240064
1611788487,33240064
1611788490,33240064
1611788493,33240064
1611788496,33240064
1611788499,33240064
1611788502,33240064
1611788505,33240064
1611788508,33240064
1611788511,33240064
1611788514,33240064
1611788517,33240064
1611788520,33240064
1611788523,33240064
1611788526,33240064
1611788529,33240064
1611788532,33240064
1611788535,33240064
1611788538,33240064
1611788541,33240064
1611788544,33240064
1611788547,33240064
1611788550,33240064
1611788553,33240064
1611788556,33240064
1611788559,33240064
1611788562,33240064
1611788565,33240064
1611788568,33240064
1611788571,33240064
1611788574,33240064
1611788577,33240064
1611788580,33240064
1611788583,33240064
1611788586,33240064
1611788589,33240064
1611788592,33240064
1611788595,33240064
1611788598,33240064
1611788601,33240064
1611788604,33240064
1611788607,33240064
1611788610,33240064
1611788613,33240064
1611788616,33240064
1611788619,33240064
1611788622,33240064
1611788625,33240064
1611788628,33240064
1611788631,33240064
1611788634,33240064
1611788637,33240064
1611788640,33240064
1611788643,33240064
1611788646,33240064
1611788649,33240064
1611788652,33240064
1611788655,33240064
1611788658,33240064
1611788661,33240064
1611788664,33240064
1611788667,33240064
1611788670,33240064
1611788673,33240064
1611788676,33240064
1611788679,33240064
1611788682,33240064
1611788685,33240064
1611788688,33240064
1611788691,33240064
1611788694,33240064
1611788697,33240064
1611788700,33240064
1611788703,33240064
1611788706,33240064
1611788709,33240064
1611788712,33240064
1611788715,33240064
1611788718,33240064
1611788721,33240064
1611788724,33240064
1611788727,33240064
1611788730,33240064
1611788733,33240064
1611788736,33240064
1611788739,33240064
1611788742,33240064
1611788745,33240064
1611788748,33240064
1611788751,33240064
1611788754,33240064
1611788757,33240064
1611788760,33240064
1611788763,33240064
1611788766,33240064
1611788769,33240064
1611788772,33240064
1611788775,33240064
1611788778,33240064
1611788781,33240064
1611788784,33240064
1611788787,33240064
1611788790,33240064
1611788793,33240064
1611788796,33240064
1611788799,33240064
1611788802,33240064
1611788805,33240064
1611788808,33240064
1611788811,33240064
1611788814,33240064
1611788817,33240064
1611788820,33240064
1611788823,33240064
1611788826,33240064
1611788829,33240064
1611788832,33240064
1611788835,33240064
1611788838,33240064
1611788841,33240064
1611788844,33240064
1611788847,33240064
1611788850,33240064
1611788853,33240064
1611788856,33240064
1611788859,33240064
1611788862,33240064
1611788865,33240064
1611788868,33240064
1611788871,33240064
1611788874,33240064
1611788877,33240064
1611788880,33240064
1611788883,33240064
1611788886,33240064
1611788889,33240064
1611788892,33240064
1611788895,33240064
1611788898,33240064
1611788901,33240064
1611788904,33240064
1611788907,33240064
1611788910,33240064
1611788913,33240064
1611788916,33240064
1611788919,33240064
1611788922,33240064
1611788925,33240064
1611788928,33240064
1611788931,33240064
1611788934,33240064
1611788937,33240064
1611788940,33240064
1611788943,33240064
1611788946,33240064
1611788949,33240064
1611788952,33240064
1611788955,33240064
1611788958,33240064
1611788961,33240064
1611788964,33240064
1611788967,33240064
1611788970,33240064
1611788973,33240064
1611788976,33240064
1611788979,33240064
1611788982,33240064
1611788985,33240064
1611788988,33240064
1611788991,33240064
1611788994,33240064
1611788997,33240064
1611789000,33240064
1611789003,33240064
1611789006,33240064
1611789009,33240064
1611789012,33240064
1611789015,33240064
1611789018,33240064
1611789021,33240064
1611789024,33240064
1611789027,33240064
1611789030,33240064
1611789033,33240064
1611789036,33240064
1611789039,33240064
1611789042,33240064
1611789045,33240064
1611789048,33240064
1611789051,33240064
1611789054,33240064
1611789057,33240064
1611789060,33240064
1611789063,33240064
1611789066,33240064
1611789069,33240064
1611789072,33240064
1611789075,33240064
1611789078,33240064
1611789081,33240064
1611789084,33240064
1611789087,33240064
1611789090,33240064
1611789093,33240064
1611789096,33240064
1611789099,33240064
1611789102,33240064
1611789105,33240064
1611789108,33240064
1611789111,33240064
1611789114,33240064
1611789117,33240064
1611789120,33240064
1611789123,33240064
1611789126,33240064
1611789129,33240064
1611789132,33240064
1611789135,33240064
1611789138,33240064
1611789141,33240064
1611789144,33240064
1611789147,33240064
1611789150,33240064
1611789153,33240064
1611789156,33240064
1611789159,33240064
1611789162,33240064
1611789165,33240064
1611789168,33240064
1611789171,33240064
1611789174,33240064
1611789177,33240064
1611789180,33240064
1611789183,33240064
1611789186,33240064
1611789189,33240064
1611789192,33240064
1611789195,33240064
1611789198,33240064
1611789201,33240064
1611789204,33240064
1611789207,33240064
1611789210,33240064
1611789213,33240064
1611789216,33240064
1611789219,33240064
1611789222,33240064
1611789225,33240064
1611789228,33240064
1611789231,33240064
1611789234,33240064
1611789237,33240064
1611789240,33240064
1611789243,33240064
1611789246,33240064
1611789249,33240064
1611789252,33240064
1611789255,33240064
1611789258,33240064
1611789261,33240064
1611789264,33240064
1611789267,33240064
1611789270,33240064
1611789273,33240064
1611789276,33240064
1611789279,33240064
1611789282,33240064
1611789285,33240064
1611789288,33240064
1611789291,33240064
1611789294,33240064
1611789297,33240064
1611789300,33240064
1611789303,33240064
1611789306,33240064
1611789309,33240064
1611789312,33240064
1611789315,33240064
1611789318,33240064
1611789321,33240064
1611789324,33240064
1611789327,33240064
1611789330,33240064
1611789333,33240064
1611789336,33240064
1611789339,33240064
1611789342,33240064
1611789345,33240064
1611789348,33240064
1611789351,33240064
1611789354,33240064
1611789357,33240064
1611789360,33240064
1611789363,33240064
1611789366,33240064
1611789369,33240064
1611789372,33240064
1611789375,33240064
1611789378,33240064
1611789381,33240064
1611789384,33240064
1611789387,33240064
1611789390,33240064
1611789393,33240064
1611789396,33240064
1611789399,33240064
1611789402,33240064
1611789405,33240064
1611789408,33240064
1611789411,33240064
1611789414,33240064
1611789417,33240064
1611789420,33240064
1611789423,33240064
1611789426,33240064
1611789429,33240064
1611789432,33240064
1611789435,33240064
1611789438,33240064
1611789441,33240064
1611789444,33240064
1611789447,33240064
1611789450,33240064
1611789453,33240064
1611789456,33240064
1611789459,33240064
1611789462,33240064
1611789465,33240064
1611789468,33240064
1611789471,33240064
1611789474,33240064
1611789477,33240064
1611789480,33240064
1611789483,33240064
1611789486,33240064
