t,value
1611785967,6291456
t,value
1611786523,27262976
1611786526,36700160
1611786529,31457280
1611786532,31457280
1611786535,31457280
1611786538,31457280
1611786541,31457280
1611786544,31457280
1611786547,31457280
1611786550,31457280
t,value
1611786573,26214400
1611786576,31457280
1611786579,31457280
1611786582,31457280
1611786585,31457280
1611786588,31457280
1611786591,31457280
1611786594,31457280
1611786597,31457280
1611786600,31457280
1611786603,31457280
1611786606,31457280
1611786609,31457280
1611786612,31457280
1611786615,31457280
1611786618,31457280
1611786621,31457280
1611786624,31457280
1611786627,31457280
1611786630,31457280
1611786633,31457280
1611786636,31457280
1611786639,31457280
1611786642,31457280
1611786645,31457280
1611786648,31457280
1611786651,31457280
1611786654,31457280
1611786657,31457280
1611786660,31457280
1611786663,31457280
1611786666,31457280
1611786669,31457280
1611786672,31457280
1611786675,31457280
1611786678,31457280
1611786681,31457280
1611786684,31457280
1611786687,31457280
1611786690,31457280
1611786693,31457280
1611786696,31457280
1611786699,31457280
1611786702,31457280
1611786705,31457280
1611786708,31457280
1611786711,31457280
1611786714,31457280
1611786717,31457280
1611786720,31457280
1611786723,31457280
1611786726,31457280
1611786729,31457280
1611786732,31457280
1611786735,31457280
1611786738,31457280
1611786741,31457280
1611786744,31457280
1611786747,31457280
1611786750,31457280
1611786753,31457280
1611786756,31457280
t,value
1611786810,12582912
1611786813,9437184
1611786816,14680064
1611786819,14680064
1611786822,14680064
1611786825,14680064
1611786828,14680064
1611786831,14680064
1611786834,14680064
1611786837,14680064
1611786840,14680064
1611786843,14680064
1611786846,14680064
1611786849,14680064
1611786852,14680064
1611786855,14680064
1611786858,14680064
1611786861,14680064
1611786864,14680064
1611786867,14680064
1611786870,14680064
1611786873,14680064
1611786876,14680064
1611786879,14680064
1611786882,14680064
1611786885,14680064
1611786888,14680064
1611786891,14680064
1611786894,14680064
1611786897,14680064
1611786900,14680064
1611786903,14680064
1611786906,14680064
1611786909,14680064
1611786912,14680064
1611786915,14680064
1611786918,14680064
1611786921,14680064
1611786924,14680064
1611786927,14680064
1611786930,14680064
1611786933,14680064
1611786936,14680064
1611786939,14680064
1611786942,14680064
1611786945,14680064
1611786948,14680064
1611786951,14680064
1611786954,14680064
1611786957,14680064
1611786960,14680064
1611786963,14680064
1611786966,14680064
1611786969,14680064
1611786972,14680064
1611786975,14680064
1611786978,14680064
1611786981,14680064
1611786984,14680064
1611786987,14680064
1611786990,14680064
1611786993,14680064
1611786996,14680064
1611786999,14680064
1611787002,14680064
1611787005,14680064
1611787008,14680064
1611787011,14680064
1611787014,14680064
1611787017,14680064
1611787020,14680064
1611787023,14680064
1611787026,14680064
1611787029,14680064
1611787032,14680064
1611787035,14680064
1611787038,14680064
1611787041,14680064
1611787044,14680064
1611787047,14680064
1611787050,14680064
1611787053,14680064
1611787056,14680064
1611787059,14680064
1611787062,14680064
1611787065,14680064
1611787068,14680064
1611787071,14680064
1611787074,14680064
1611787077,14680064
1611787080,14680064
1611787083,14680064
1611787086,14680064
1611787089,14680064
1611787092,14680064
1611787095,14680064
1611787098,14680064
1611787101,14680064
1611787104,14680064
1611787107,14680064
1611787110,14680064
1611787113,14680064
1611787116,14680064
1611787119,14680064
1611787122,14680064
1611787125,14680064
1611787128,14680064
1611787131,14680064
1611787134,14680064
1611787137,14680064
1611787140,14680064
1611787143,14680064
1611787146,14680064
1611787149,14680064
1611787152,14680064
1611787155,14680064
1611787158,14680064
1611787161,14680064
1611787164,14680064
1611787167,14680064
1611787170,14680064
1611787173,14680064
1611787176,14680064
1611787179,14680064
1611787182,14680064
1611787185,14680064
1611787188,14680064
1611787191,14680064
1611787194,14680064
1611787197,14680064
1611787200,14680064
1611787203,14680064
1611787206,14680064
1611787209,14680064
1611787212,14680064
1611787215,14680064
1611787218,19922944
1611787221,19922944
1611787224,19922944
1611787227,19922944
1611787230,19922944
1611787233,19922944
1611787236,19922944
1611787239,19922944
1611787242,19922944
1611787245,19922944
1611787248,19922944
1611787251,19922944
1611787254,19922944
1611787257,19922944
1611787260,19922944
1611787263,19922944
1611787266,19922944
1611787269,19922944
1611787272,19922944
1611787275,19922944
1611787278,19922944
1611787281,19922944
1611787284,19922944
1611787287,19922944
1611787290,19922944
1611787293,19922944
1611787296,19922944
1611787299,19922944
1611787302,19922944
1611787305,19922944
1611787308,19922944
1611787311,19922944
1611787314,19922944
1611787317,19922944
1611787320,19922944
1611787323,19922944
1611787326,19922944
1611787329,19922944
1611787332,19922944
1611787335,19922944
1611787338,19922944
1611787341,19922944
1611787344,19922944
1611787347,19922944
1611787350,19922944
1611787353,19922944
1611787356,19922944
1611787359,19922944
1611787362,19922944
1611787365,19922944
1611787368,19922944
1611787371,19922944
1611787374,19922944
1611787377,19922944
1611787380,19922944
1611787383,19922944
1611787386,19922944
1611787389,19922944
1611787392,19922944
1611787395,19922944
1611787398,19922944
1611787401,19922944
1611787404,19922944
1611787407,19922944
1611787410,19922944
1611787413,19922944
1611787416,19922944
1611787419,19922944
1611787422,19922944
1611787425,19922944
1611787428,19922944
1611787431,19922944
1611787434,19922944
1611787437,19922944
1611787440,19922944
1611787443,19922944
1611787446,19922944
1611787449,19922944
1611787452,19922944
1611787455,19922944
1611787458,19922944
1611787461,19922944
1611787464,19922944
1611787467,19922944
1611787470,19922944
1611787473,19922944
1611787476,19922944
1611787479,19922944
1611787482,19922944
1611787485,19922944
1611787488,19922944
1611787491,19922944
1611787494,19922944
1611787497,19922944
1611787500,19922944
