t,value
1611785967,47117736
t,value
1611786523,41803712
1611786526,57672672
1611786529,64385376
1611786532,64399056
1611786535,64407440
1611786538,64414304
1611786541,64418344
1611786544,64424240
1611786547,64428816
1611786550,64434488
t,value
1611786573,43064488
1611786576,61620544
1611786579,64431296
1611786582,64444640
1611786585,64451392
1611786588,64458728
1611786591,64464064
1611786594,64469968
1611786597,64476000
1611786600,65559136
1611786603,65563512
1611786606,65591344
1611786609,65592760
1611786612,65602208
1611786615,65615600
1611786618,65618880
1611786621,65618880
1611786624,65622984
1611786627,65626320
1611786630,65634608
1611786633,65637256
1611786636,65642752
1611786639,65643448
1611786642,65643448
1611786645,65644976
1611786648,65645776
1611786651,65647184
1611786654,65647184
1611786657,65647184
1611786660,65647960
1611786663,65649784
1611786666,65650136
1611786669,65652664
1611786672,65654360
1611786675,65658416
1611786678,65658904
1611786681,65659720
1611786684,65661240
1611786687,65664288
1611786690,65668416
1611786693,65669280
1611786696,65674256
1611786699,65676816
1611786702,65689688
1611786705,65690896
1611786708,65693448
1611786711,65693448
1611786714,65693448
1611786717,65693448
1611786720,65695136
1611786723,65696440
1611786726,65696440
1611786729,65698528
1611786732,65698528
1611786735,65698528
1611786738,65698528
1611786741,65698528
1611786744,65699576
1611786747,65700200
1611786750,65704720
1611786753,65706136
1611786756,65706480
t,value
1611786810,53528656
1611786813,65460152
1611786816,78772376
1611786819,85395600
1611786822,85415304
1611786825,85598144
1611786828,86850632
1611786831,86856648
1611786834,86866760
1611786837,86870352
1611786840,86873632
1611786843,86879512
1611786846,86957616
1611786849,86969816
1611786852,86979840
1611786855,86983320
1611786858,87048520
1611786861,87179472
1611786864,87180272
1611786867,87187656
1611786870,87192296
1611786873,87192720
1611786876,87197816
1611786879,87263560
1611786882,87263960
1611786885,87263960
1611786888,87265056
1611786891,87341992
1611786894,87343880
1611786897,87343880
1611786900,87386944
1611786903,87388824
1611786906,87389736
1611786909,87391440
1611786912,87391880
1611786915,87394224
1611786918,87412840
1611786921,87436552
1611786924,87436552
1611786927,87444920
1611786930,87446408
1611786933,87448144
1611786936,87449960
1611786939,87491376
1611786942,87493896
1611786945,87499216
1611786948,87499216
1611786951,87502912
1611786954,87503368
1611786957,87503368
1611786960,87612256
1611786963,87612880
1611786966,87614504
1611786969,87614504
1611786972,87614504
1611786975,87614504
1611786978,87626776
1611786981,87639224
1611786984,87639224
1611786987,87641224
1611786990,87642544
1611786993,89895728
1611786996,89896400
1611786999,89921400
1611787002,89924464
1611787005,89924464
1611787008,89924464
1611787011,89926936
1611787014,89926936
1611787017,89927472
1611787020,89959744
1611787023,89959744
1611787026,89959744
1611787029,89959744
1611787032,89962168
1611787035,89962632
1611787038,89972528
1611787041,89984816
1611787044,89987232
1611787047,89992920
1611787050,89992920
1611787053,89994872
1611787056,89994872
1611787059,90011680
1611787062,90012560
1611787065,90019032
1611787068,90025520
1611787071,90029040
1611787074,90029040
1611787077,90029504
1611787080,90050008
1611787083,90060952
1611787086,90060952
1611787089,90060952
1611787092,90060952
1611787095,90060952
1611787098,90070472
1611787101,90078024
1611787104,90078024
1611787107,91891776
1611787110,91894352
1611787113,91904040
1611787116,91904040
1611787119,91919080
1611787122,92717600
1611787125,92717600
1611787128,92718440
1611787131,92718440
1611787134,92718440
1611787137,92718440
1611787140,92745352
