t,value
1611785967,22
t,value
1611786523,25
1611786526,26
1611786529,35
1611786532,36
1611786535,36
1611786538,36
1611786541,36
1611786544,36
1611786547,36
1611786550,36
t,value
1611786573,24
1611786576,34
1611786579,34
1611786582,35
1611786585,35
1611786588,35
1611786591,35
1611786594,35
1611786597,35
1611786600,37
1611786603,37
1611786606,37
1611786609,37
1611786612,37
1611786615,37
1611786618,37
1611786621,37
1611786624,37
1611786627,37
1611786630,39
1611786633,39
1611786636,39
1611786639,39
1611786642,39
1611786645,39
1611786648,39
1611786651,39
1611786654,39
1611786657,39
1611786660,39
1611786663,39
1611786666,39
1611786669,39
1611786672,39
1611786675,39
1611786678,39
1611786681,39
1611786684,39
1611786687,39
1611786690,38
1611786693,38
1611786696,38
1611786699,38
1611786702,38
1611786705,38
1611786708,38
1611786711,38
1611786714,38
1611786717,38
1611786720,38
1611786723,38
1611786726,38
1611786729,38
1611786732,38
1611786735,38
1611786738,38
1611786741,38
1611786744,38
1611786747,38
1611786750,38
1611786753,38
1611786756,38
t,value
1611786810,25
1611786813,26
1611786816,41
1611786819,46
1611786822,46
1611786825,48
1611786828,52
1611786831,52
1611786834,52
1611786837,52
1611786840,52
1611786843,52
1611786846,52
1611786849,52
1611786852,52
1611786855,52
1611786858,52
1611786861,52
1611786864,52
1611786867,52
1611786870,52
1611786873,52
1611786876,51
1611786879,51
1611786882,51
1611786885,51
1611786888,50
1611786891,50
1611786894,50
1611786897,50
1611786900,50
1611786903,50
1611786906,50
1611786909,50
1611786912,50
1611786915,50
1611786918,50
1611786921,50
1611786924,50
1611786927,50
1611786930,50
1611786933,50
1611786936,50
1611786939,50
1611786942,50
1611786945,49
1611786948,48
1611786951,48
1611786954,48
1611786957,48
1611786960,50
1611786963,50
1611786966,50
1611786969,50
1611786972,50
1611786975,50
1611786978,50
1611786981,50
1611786984,50
1611786987,50
1611786990,50
1611786993,50
1611786996,50
1611786999,50
1611787002,50
1611787005,50
1611787008,50
1611787011,50
1611787014,50
1611787017,50
1611787020,49
1611787023,49
1611787026,49
1611787029,49
1611787032,49
1611787035,49
1611787038,49
1611787041,49
1611787044,49
1611787047,49
1611787050,49
1611787053,49
1611787056,49
1611787059,49
1611787062,49
1611787065,49
1611787068,49
1611787071,49
1611787074,49
1611787077,49
1611787080,49
1611787083,49
1611787086,49
1611787089,49
1611787092,49
1611787095,49
1611787098,49
1611787101,49
1611787104,49
1611787107,49
1611787110,49
1611787113,49
1611787116,49
1611787119,49
1611787122,49
1611787125,49
1611787128,49
1611787131,49
1611787134,49
1611787137,49
1611787140,49
1611787143,49
1611787146,49
1611787149,49
1611787152,49
1611787155,49
1611787158,49
1611787161,49
1611787164,49
1611787167,49
1611787170,49
1611787173,49
1611787176,49
1611787179,49
1611787182,49
1611787185,49
1611787188,49
1611787191,49
1611787194,49
1611787197,49
1611787200,49
1611787203,49
1611787206,49
1611787209,49
1611787212,49
1611787215,49
1611787218,49
1611787221,49
1611787224,49
1611787227,48
1611787230,48
1611787233,48
1611787236,48
1611787239,48
1611787242,48
1611787245,48
1611787248,48
1611787251,48
1611787254,48
1611787257,48
1611787260,48
1611787263,48
1611787266,48
1611787269,48
1611787272,48
1611787275,48
1611787278,48
1611787281,48
1611787284,48
1611787287,48
1611787290,48
1611787293,48
1611787296,48
1611787299,48
1611787302,48
1611787305,48
1611787308,48
1611787311,48
1611787314,48
1611787317,48
1611787320,48
1611787323,48
1611787326,48
1611787329,48
1611787332,48
1611787335,48
1611787338,48
1611787341,48
1611787344,48
1611787347,48
1611787350,48
1611787353,48
1611787356,48
1611787359,48
1611787362,48
1611787365,48
1611787368,48
1611787371,48
1611787374,48
1611787377,48
1611787380,48
1611787383,48
1611787386,48
1611787389,48
1611787392,48
1611787395,48
1611787398,48
1611787401,48
1611787404,48
1611787407,48
1611787410,48
1611787413,48
1611787416,48
1611787419,48
1611787422,48
1611787425,48
1611787428,48
1611787431,48
1611787434,49
1611787437,49
1611787440,49
1611787443,49
1611787446,49
1611787449,49
1611787452,49
1611787455,49
1611787458,49
1611787461,49
1611787464,49
1611787467,49
1611787470,49
1611787473,49
1611787476,49
1611787479,49
1611787482,49
1611787485,49
1611787488,49
1611787491,49
1611787494,49
1611787497,49
1611787500,49
1611787503,49
1611787506,49
1611787509,49
1611787512,49
1611787515,49
1611787518,48
1611787521,48
1611787524,48
1611787527,48
1611787530,48
1611787533,48
1611787536,48
1611787539,48
1611787542,48
1611787545,48
1611787548,48
1611787551,48
1611787554,48
1611787557,48
1611787560,48
1611787563,48
1611787566,48
1611787569,48
1611787572,48
1611787575,48
1611787578,48
1611787581,48
1611787584,48
1611787587,48
1611787590,48
1611787593,48
1611787596,48
1611787599,48
1611787602,48
1611787605,48
1611787608,48
1611787611,48
1611787614,48
1611787617,48
1611787620,48
1611787623,48
1611787626,48
1611787629,48
1611787632,48
1611787635,48
1611787638,48
1611787641,48
1611787644,48
1611787647,48
1611787650,48
1611787653,48
1611787656,48
1611787659,48
1611787662,48
1611787665,48
1611787668,48
1611787671,48
1611787674,48
1611787677,48
1611787680,48
1611787683,48
1611787686,48
1611787689,48
1611787692,48
1611787695,48
1611787698,48
1611787701,48
1611787704,48
1611787707,48
1611787710,48
1611787713,48
1611787716,48
1611787719,48
1611787722,48
1611787725,48
1611787728,48
1611787731,48
1611787734,48
1611787737,48
1611787740,48
1611787743,48
1611787746,48
1611787749,48
1611787752,48
1611787755,48
1611787758,48
1611787761,48
1611787764,48
1611787767,48
1611787770,48
1611787773,48
1611787776,48
1611787779,48
1611787782,48
1611787785,48
1611787788,48
1611787791,48
1611787794,48
1611787797,48
1611787800,48
1611787803,48
1611787806,48
1611787809,48
1611787812,48
1611787815,48
1611787818,48
1611787821,48
1611787824,48
1611787827,48
1611787830,48
1611787833,48
1611787836,48
1611787839,48
1611787842,48
1611787845,48
1611787848,48
1611787851,48
1611787854,48
1611787857,48
1611787860,48
1611787863,48
1611787866,48
1611787869,48
1611787872,48
1611787875,48
1611787878,48
1611787881,48
1611787884,48
1611787887,48
1611787890,48
1611787893,48
1611787896,48
1611787899,48
1611787902,48
1611787905,48
1611787908,48
1611787911,48
1611787914,48
1611787917,48
1611787920,48
1611787923,48
1611787926,48
1611787929,48
1611787932,48
1611787935,48
1611787938,48
1611787941,48
1611787944,48
1611787947,48
1611787950,48
1611787953,48
1611787956,48
1611787959,48
1611787962,48
1611787965,48
1611787968,48
1611787971,48
1611787974,48
1611787977,48
1611787980,48
1611787983,48
1611787986,48
1611787989,48
1611787992,48
1611787995,48
1611787998,48
1611788001,48
1611788004,48
1611788007,48
1611788010,48
1611788013,48
1611788016,48
1611788019,48
1611788022,48
1611788025,48
1611788028,48
1611788031,48
1611788034,48
1611788037,48
1611788040,48
1611788043,48
1611788046,48
1611788049,48
1611788052,48
1611788055,48
1611788058,48
1611788061,48
1611788064,48
1611788067,48
1611788070,48
1611788073,48
1611788076,48
1611788079,48
1611788082,48
1611788085,48
1611788088,48
1611788091,48
1611788094,48
1611788097,48
1611788100,48
1611788103,48
1611788106,48
1611788109,48
1611788112,48
1611788115,48
1611788118,48
1611788121,48
1611788124,48
1611788127,48
1611788130,48
1611788133,48
1611788136,48
1611788139,48
1611788142,48
1611788145,48
1611788148,48
1611788151,48
1611788154,48
1611788157,48
1611788160,48
1611788163,48
1611788166,48
1611788169,48
1611788172,48
1611788175,48
1611788178,48
1611788181,48
1611788184,48
1611788187,48
1611788190,48
1611788193,48
1611788196,48
1611788199,48
1611788202,48
1611788205,48
1611788208,48
1611788211,48
