t,value
1611785967,28
t,value
1611786523,29
1611786526,30
1611786529,39
1611786532,40
1611786535,40
1611786538,40
1611786541,40
1611786544,40
1611786547,40
1611786550,40
t,value
1611786573,28
1611786576,38
1611786579,38
1611786582,39
1611786585,39
1611786588,39
1611786591,39
1611786594,39
1611786597,39
1611786600,41
1611786603,41
1611786606,41
1611786609,41
1611786612,41
1611786615,41
1611786618,41
1611786621,41
1611786624,41
1611786627,41
1611786630,43
1611786633,43
1611786636,43
1611786639,43
1611786642,43
1611786645,43
1611786648,43
1611786651,43
1611786654,43
1611786657,43
1611786660,43
1611786663,43
1611786666,43
1611786669,43
1611786672,43
1611786675,43
1611786678,43
1611786681,43
1611786684,43
1611786687,43
1611786690,42
1611786693,42
1611786696,42
1611786699,42
1611786702,42
1611786705,42
1611786708,42
1611786711,42
1611786714,42
1611786717,42
1611786720,42
1611786723,42
1611786726,42
1611786729,42
1611786732,42
1611786735,42
1611786738,42
1611786741,42
1611786744,42
1611786747,42
1611786750,42
1611786753,42
1611786756,42
t,value
1611786810,31
1611786813,32
1611786816,47
1611786819,52
1611786822,52
1611786825,55
1611786828,58
1611786831,58
1611786834,58
1611786837,58
1611786840,58
1611786843,58
1611786846,58
1611786849,58
1611786852,58
1611786855,58
1611786858,58
1611786861,58
1611786864,58
1611786867,58
1611786870,58
1611786873,58
1611786876,57
1611786879,57
1611786882,57
1611786885,57
1611786888,56
1611786891,56
1611786894,56
1611786897,56
1611786900,56
1611786903,56
1611786906,56
1611786909,56
1611786912,56
1611786915,56
1611786918,56
1611786921,56
1611786924,56
1611786927,56
1611786930,56
1611786933,56
1611786936,56
1611786939,56
1611786942,56
1611786945,55
1611786948,54
1611786951,54
1611786954,54
1611786957,54
1611786960,56
1611786963,56
1611786966,56
1611786969,56
1611786972,56
1611786975,56
1611786978,56
1611786981,56
1611786984,56
1611786987,56
1611786990,56
1611786993,56
1611786996,56
1611786999,56
1611787002,56
1611787005,56
1611787008,56
1611787011,56
1611787014,56
1611787017,56
1611787020,55
1611787023,55
1611787026,55
1611787029,55
1611787032,55
1611787035,55
1611787038,55
1611787041,55
1611787044,55
1611787047,55
1611787050,55
1611787053,55
1611787056,55
1611787059,55
1611787062,55
1611787065,55
1611787068,55
1611787071,55
1611787074,55
1611787077,55
1611787080,55
1611787083,55
1611787086,55
1611787089,55
1611787092,55
1611787095,55
1611787098,55
1611787101,55
1611787104,55
1611787107,55
1611787110,55
1611787113,55
1611787116,55
1611787119,55
1611787122,55
1611787125,55
1611787128,55
1611787131,55
1611787134,55
1611787137,55
1611787140,55
1611787143,55
1611787146,55
1611787149,55
1611787152,55
1611787155,55
1611787158,55
1611787161,55
1611787164,55
1611787167,55
1611787170,55
1611787173,55
1611787176,55
1611787179,55
1611787182,55
1611787185,55
1611787188,55
1611787191,55
1611787194,55
1611787197,55
1611787200,55
1611787203,55
1611787206,55
1611787209,55
1611787212,55
1611787215,55
1611787218,55
1611787221,55
1611787224,55
1611787227,54
1611787230,54
1611787233,54
1611787236,54
1611787239,54
1611787242,54
1611787245,54
1611787248,54
1611787251,54
1611787254,54
1611787257,54
1611787260,54
1611787263,54
1611787266,54
1611787269,54
1611787272,54
1611787275,54
1611787278,54
1611787281,54
1611787284,54
1611787287,54
1611787290,54
1611787293,54
1611787296,54
1611787299,54
1611787302,54
1611787305,54
1611787308,54
1611787311,54
1611787314,54
1611787317,54
1611787320,54
1611787323,54
1611787326,54
1611787329,54
1611787332,54
1611787335,54
1611787338,54
1611787341,54
1611787344,54
1611787347,54
1611787350,54
1611787353,54
1611787356,54
1611787359,54
1611787362,54
1611787365,54
1611787368,54
1611787371,54
1611787374,54
1611787377,54
1611787380,54
1611787383,54
1611787386,54
1611787389,54
1611787392,54
1611787395,54
1611787398,54
1611787401,54
1611787404,54
1611787407,54
1611787410,55
1611787413,55
1611787416,55
1611787419,54
1611787422,54
1611787425,54
1611787428,54
1611787431,54
1611787434,55
1611787437,55
1611787440,55
1611787443,55
1611787446,55
1611787449,55
1611787452,55
1611787455,55
1611787458,55
1611787461,55
1611787464,55
1611787467,55
1611787470,55
1611787473,55
1611787476,55
1611787479,55
1611787482,55
1611787485,55
1611787488,55
1611787491,55
1611787494,55
1611787497,55
1611787500,55
1611787503,55
1611787506,55
1611787509,55
1611787512,55
1611787515,55
1611787518,54
1611787521,54
1611787524,54
1611787527,54
1611787530,54
1611787533,54
1611787536,54
1611787539,54
1611787542,54
1611787545,54
1611787548,54
1611787551,54
1611787554,54
1611787557,54
1611787560,54
1611787563,54
1611787566,54
1611787569,54
1611787572,54
1611787575,54
1611787578,54
1611787581,54
1611787584,54
1611787587,54
1611787590,54
1611787593,54
1611787596,54
1611787599,54
1611787602,54
1611787605,54
1611787608,54
1611787611,54
1611787614,54
1611787617,54
1611787620,54
1611787623,54
1611787626,54
1611787629,54
1611787632,54
1611787635,54
1611787638,54
1611787641,54
1611787644,54
1611787647,54
1611787650,54
1611787653,54
1611787656,54
1611787659,54
1611787662,54
1611787665,54
1611787668,54
1611787671,54
1611787674,54
1611787677,54
1611787680,54
1611787683,54
1611787686,54
1611787689,54
1611787692,54
1611787695,54
1611787698,54
1611787701,54
1611787704,54
1611787707,54
1611787710,54
1611787713,54
1611787716,54
1611787719,54
1611787722,54
1611787725,54
1611787728,54
1611787731,54
1611787734,54
1611787737,54
1611787740,54
1611787743,54
1611787746,54
1611787749,54
1611787752,54
1611787755,54
1611787758,54
1611787761,54
1611787764,54
1611787767,54
1611787770,54
1611787773,54
1611787776,54
1611787779,54
1611787782,54
1611787785,54
1611787788,54
1611787791,54
1611787794,54
1611787797,54
1611787800,54
1611787803,54
1611787806,54
1611787809,54
1611787812,54
1611787815,54
1611787818,54
1611787821,54
1611787824,54
1611787827,54
1611787830,54
1611787833,54
1611787836,54
1611787839,54
1611787842,54
1611787845,54
1611787848,54
1611787851,54
1611787854,54
1611787857,54
1611787860,54
1611787863,54
1611787866,54
1611787869,54
1611787872,54
1611787875,54
1611787878,54
1611787881,54
1611787884,54
1611787887,54
1611787890,54
1611787893,54
1611787896,54
1611787899,54
1611787902,54
1611787905,54
1611787908,54
1611787911,54
1611787914,54
1611787917,54
1611787920,54
1611787923,54
1611787926,54
1611787929,54
1611787932,54
1611787935,54
1611787938,54
1611787941,54
1611787944,54
1611787947,54
1611787950,54
1611787953,54
1611787956,54
1611787959,54
1611787962,54
1611787965,54
1611787968,54
1611787971,54
1611787974,54
1611787977,54
1611787980,54
1611787983,54
1611787986,54
1611787989,54
1611787992,54
1611787995,54
1611787998,54
1611788001,54
1611788004,54
1611788007,54
1611788010,54
1611788013,54
1611788016,54
1611788019,54
1611788022,54
1611788025,54
1611788028,54
1611788031,54
1611788034,54
1611788037,54
1611788040,54
1611788043,54
1611788046,54
1611788049,54
1611788052,54
1611788055,54
1611788058,54
1611788061,54
1611788064,54
1611788067,54
1611788070,54
1611788073,54
1611788076,54
1611788079,54
1611788082,54
1611788085,54
1611788088,54
1611788091,54
1611788094,54
1611788097,54
1611788100,54
1611788103,54
1611788106,54
1611788109,54
1611788112,54
1611788115,54
1611788118,54
1611788121,54
1611788124,54
1611788127,54
1611788130,54
1611788133,54
1611788136,54
1611788139,54
1611788142,54
1611788145,54
1611788148,54
1611788151,54
1611788154,54
1611788157,54
1611788160,54
1611788163,54
1611788166,54
1611788169,54
1611788172,54
1611788175,54
1611788178,54
1611788181,54
1611788184,54
1611788187,54
1611788190,54
1611788193,54
1611788196,54
1611788199,54
1611788202,54
1611788205,54
1611788208,54
1611788211,54
1611788214,54
1611788217,54
1611788220,54
1611788223,54
1611788226,54
1611788229,54
1611788232,54
1611788235,54
1611788238,54
1611788241,54
1611788244,54
1611788247,54
1611788250,54
1611788253,54
1611788256,54
1611788259,54
1611788262,54
1611788265,54
1611788268,54
1611788271,54
1611788274,54
1611788277,54
1611788280,54
1611788283,54
1611788286,54
1611788289,54
1611788292,54
1611788295,54
1611788298,54
1611788301,54
1611788304,54
1611788307,54
1611788310,54
1611788313,54
1611788316,54
1611788319,54
1611788322,54
1611788325,54
1611788328,54
1611788331,54
1611788334,54
1611788337,54
1611788340,54
1611788343,54
1611788346,54
1611788349,54
1611788352,54
1611788355,54
1611788358,54
1611788361,54
1611788364,54
1611788367,54
1611788370,54
1611788373,54
1611788376,54
1611788379,54
1611788382,54
1611788385,54
1611788388,54
1611788391,54
1611788394,54
1611788397,54
1611788400,54
1611788403,54
1611788406,54
1611788409,54
1611788412,54
1611788415,54
1611788418,54
1611788421,54
1611788424,54
1611788427,54
1611788430,54
1611788433,54
1611788436,54
1611788439,54
1611788442,54
1611788445,54
1611788448,54
1611788451,54
1611788454,54
1611788457,54
1611788460,54
1611788463,54
1611788466,54
1611788469,55
1611788472,55
1611788475,55
1611788478,55
1611788481,55
1611788484,55
1611788487,55
1611788490,55
1611788493,55
1611788496,55
1611788499,55
1611788502,55
1611788505,55
1611788508,55
1611788511,55
1611788514,55
1611788517,55
1611788520,55
1611788523,55
1611788526,55
1611788529,54
1611788532,54
1611788535,54
1611788538,54
1611788541,54
1611788544,54
1611788547,54
1611788550,54
1611788553,54
1611788556,54
1611788559,54
1611788562,54
1611788565,54
1611788568,54
1611788571,54
1611788574,54
1611788577,54
1611788580,54
1611788583,54
1611788586,54
1611788589,54
1611788592,54
1611788595,54
1611788598,54
1611788601,54
1611788604,54
1611788607,54
1611788610,54
1611788613,54
1611788616,54
1611788619,54
1611788622,54
1611788625,54
1611788628,54
1611788631,54
1611788634,54
1611788637,54
1611788640,54
1611788643,54
1611788646,54
1611788649,54
1611788652,54
1611788655,54
1611788658,54
1611788661,54
1611788664,54
1611788667,54
1611788670,54
1611788673,54
1611788676,54
